catalog,cid,z,mu_obs,muerr,mB,lcdm_distance_mpc,lcdm_distance_mly,lcdm_mu,stam_su,stam_distance_mly,stam_distance_mpc,stam_mu,observed_distance_mpc,observed_distance_mly,lcdm_residual_mu,stam_residual_mu,lcdm_abs_residual_mu,stam_abs_residual_mu,lcdm_sq_residual_mu,stam_sq_residual_mu,lcdm_residual_sigma,stam_residual_sigma,weight,stam_minus_lcdm_mu
DES,2004ef,0.03012,35.5473,0.1369,16.57759,131.97557554725057,430.4467565216638,35.602467823205856,124.18610686273851,419.8321380468316,128.72111872720026,35.5482490280053,128.66487428435522,419.6486932094469,-0.05516782320585634,-0.0009490280053014999,0.05516782320585634,0.0009490280053014999,0.003043488717272621,9.006541548465437e-07,-0.4029789861640346,-0.006932271769915997,53.357208905745026,-0.05421879520055484
DES,2007nq,0.04349,36.36083,0.0883,17.09512,192.43824274787923,627.6496016635776,36.42145691241683,179.66920595987946,610.0839260669862,187.05258212525175,36.35981853847995,187.13973062341879,610.3681664517406,-0.06062691241682927,0.001011461520050716,0.06062691241682927,0.001011461520050716,0.0036756225091978873,1.023054406543305e-06,-0.6866014996243405,0.011454830351650238,128.2562662805298,-0.06163837393687999
DES,2006az,0.03201,35.60595,0.0962,16.18893,140.45331667885557,458.097449898812,35.737659995662995,132.015909042585,446.5811386720704,136.92239960420457,35.68237250833756,132.18738158218684,431.1375754127502,-0.13170999566299457,-0.07642250833755782,0.13170999566299457,0.07642250833755782,0.01734752295754605,0.005840399780604094,-1.3691267740436026,-0.7944127685816821,108.05624111237418,-0.05528748732543676
DES,2007is,0.02866,35.58174,0.1241,16.1189,125.44234725020304,409.13821576767543,35.492220859206334,118.14069951447198,399.201627016216,122.39577528844126,35.43883213804353,130.72179418040088,426.35746863252314,0.0895191407936693,0.14290786195647343,0.0895191407936693,0.14290786195647343,0.008013676568436786,0.020422657008970464,0.7213468234783988,1.15155408506425,64.9316496989444,-0.05338872116280413
DES,2008gb,0.03796,36.20641,0.1163,16.80286,167.29187442678958,545.6331176495577,36.11737423627319,156.69400628691682,531.1031959521819,162.83698018118469,36.05876519886079,174.29382463772194,568.4704248188903,0.08903576372680533,0.14764480113920797,0.08903576372680533,0.14764480113920797,0.007927367222415504,0.021798987303436268,0.7655697654927371,1.2695167767773685,73.93338158718704,-0.05860903741240264
DES,2007ux,0.03264,35.67592,0.1568,17.04465,143.28432392030666,467.33096056712253,35.78099339416003,134.6268205483028,455.50809888619204,139.6594180491021,35.725351140172194,136.51613997353599,445.25609697703055,-0.10507339416002992,-0.04943114017219585,0.10507339416002992,0.04943114017219585,0.01104041816030901,0.0024434376187232746,-0.670110932143048,-0.3152496184451266,40.673157017909205,-0.05564225398783407
DES,2002hd,0.03134,36.00315,0.1791,16.57841,137.4453561554575,448.2867948160588,35.690650354941454,129.2397616307753,437.09321741112063,134.0133897204286,35.63574096164436,158.71939522381643,517.673430010627,0.3124996450585442,0.367409038355639,0.3124996450585442,0.367409038355639,0.09765602816171612,0.1349894014654154,1.7448333057428487,2.0514184162793914,31.175169850119133,-0.054909393297094766
DES,2006is,0.03071,35.72373,0.1121,15.79149,134.6196036575057,439.07042282879775,35.645541537937255,126.62985860085087,428.1772212240529,131.27973286150848,35.59098842154409,139.55519245573404,455.1681604663306,0.07818846206274799,0.1327415784559136,0.07818846206274799,0.1327415784559136,0.0061134355997377815,0.01762032665096747,0.6974885108184476,1.1841354010340197,79.57722213424518,-0.054553116393165624
DES,2004gu,0.04664,36.54971,0.1315,17.14525,206.84878537054246,674.65050547416,36.578264875168536,192.77317880234116,655.2559644632324,200.9023920626326,36.51492553872923,204.14652889059107,665.8369236256893,-0.028554875168538274,0.03478446127076751,0.028554875168538274,0.03478446127076751,0.0008153808958908037,0.0012099587458975246,-0.2171473396847017,0.26452061802865023,57.829374430742085,-0.06333933643930578
DES,2005eq,0.02823,35.63531,0.1201,16.02149,123.52079202641718,402.8709408561919,35.45870033867915,116.36070318885213,393.1309574472814,120.53449953672818,35.405556845094026,133.9867953691555,437.0064782383621,0.1766096613208461,0.22975315490597126,0.1766096613208461,0.22975315490597126,0.031190972471863962,0.05278651218924722,1.4705217428879775,1.9130154446791945,69.32884821904588,-0.05314349358512516
