object,mass_solar_input,mass_input_kg,stam_threshold_A,horizon_radius_Rs_m,horizon_radius_Rs_km,mass_from_STAM_threshold_kg,mass_from_STAM_threshold_solar,threshold_mass_ratio_to_input,orbit_radius_multiple_Rs,orbit_radius_m,circular_velocity_m_s,circular_velocity_fraction_c,mass_from_orbital_velocity_kg,mass_from_orbital_velocity_solar,orbital_mass_ratio_to_input,shapiro_K_one_way_seconds,mass_from_shapiro_K_kg,mass_from_shapiro_K_solar,shapiro_mass_ratio_to_input
1 solar mass threshold,1.0,1.98847e+30,1.0,2953.3393820668784,2.9533393820668783,1.98847e+30,1.0,1.0,3,8860.018146200635,122389758.47245945,0.408248290463863,1.98847e+30,1.0,1.0,9.851279787922078e-06,1.9884700000000003e+30,1.0000000000000002,1.0000000000000002
1 solar mass threshold,1.0,1.98847e+30,1.0,2953.3393820668784,2.9533393820668783,1.98847e+30,1.0,1.0,10,29533.393820668785,67035631.52297506,0.22360679774997894,1.9884699999999997e+30,0.9999999999999999,0.9999999999999999,9.851279787922078e-06,1.9884700000000003e+30,1.0000000000000002,1.0000000000000002
1 solar mass threshold,1.0,1.98847e+30,1.0,2953.3393820668784,2.9533393820668783,1.98847e+30,1.0,1.0,100,295333.93820668786,21198528.000038322,0.07071067811865475,1.98847e+30,1.0,1.0,9.851279787922078e-06,1.9884700000000003e+30,1.0000000000000002,1.0000000000000002
1 solar mass threshold,1.0,1.98847e+30,1.0,2953.3393820668784,2.9533393820668783,1.98847e+30,1.0,1.0,1000,2953339.3820668785,6703563.152297506,0.022360679774997897,1.98847e+30,1.0,1.0,9.851279787922078e-06,1.9884700000000003e+30,1.0000000000000002,1.0000000000000002
10 solar mass threshold,10.0,1.98847e+31,1.0,29533.393820668785,29.533393820668785,1.98847e+31,10.0,1.0,3,88600.18146200635,122389758.47245945,0.408248290463863,1.98847e+31,10.0,1.0,9.851279787922078e-05,1.98847e+31,10.0,1.0
10 solar mass threshold,10.0,1.98847e+31,1.0,29533.393820668785,29.533393820668785,1.98847e+31,10.0,1.0,10,295333.93820668786,67035631.52297506,0.22360679774997894,1.9884699999999995e+31,9.999999999999998,0.9999999999999998,9.851279787922078e-05,1.98847e+31,10.0,1.0
10 solar mass threshold,10.0,1.98847e+31,1.0,29533.393820668785,29.533393820668785,1.98847e+31,10.0,1.0,100,2953339.3820668785,21198528.000038322,0.07071067811865475,1.98847e+31,10.0,1.0,9.851279787922078e-05,1.98847e+31,10.0,1.0
10 solar mass threshold,10.0,1.98847e+31,1.0,29533.393820668785,29.533393820668785,1.98847e+31,10.0,1.0,1000,29533393.820668787,6703563.152297506,0.022360679774997897,1.98847e+31,10.0,1.0,9.851279787922078e-05,1.98847e+31,10.0,1.0
Sagittarius A* scale example,4300000.0,8.550421e+36,1.0,12699359342.887577,12699359.342887577,8.550421e+36,4300000.0,1.0,3,38098078028.662735,122389758.47245945,0.408248290463863,8.550421000000001e+36,4300000.000000001,1.0000000000000002,42.36050308806493,8.550420999999999e+36,4299999.999999999,0.9999999999999999
Sagittarius A* scale example,4300000.0,8.550421e+36,1.0,12699359342.887577,12699359.342887577,8.550421e+36,4300000.0,1.0,10,126993593428.87576,67035631.522975065,0.22360679774997896,8.550420999999999e+36,4299999.999999999,0.9999999999999999,42.36050308806493,8.550420999999999e+36,4299999.999999999,0.9999999999999999
Sagittarius A* scale example,4300000.0,8.550421e+36,1.0,12699359342.887577,12699359.342887577,8.550421e+36,4300000.0,1.0,100,1269935934288.7578,21198528.000038322,0.07071067811865475,8.550421e+36,4300000.0,1.0,42.36050308806493,8.550420999999999e+36,4299999.999999999,0.9999999999999999
Sagittarius A* scale example,4300000.0,8.550421e+36,1.0,12699359342.887577,12699359.342887577,8.550421e+36,4300000.0,1.0,1000,12699359342887.576,6703563.152297506,0.022360679774997897,8.550420999999998e+36,4299999.999999999,0.9999999999999998,42.36050308806493,8.550420999999999e+36,4299999.999999999,0.9999999999999999
M87* scale example,6500000000.0,1.2925054999999999e+40,1.0,19196705983434.707,19196705983.434708,1.2925054999999999e+40,6499999999.999999,1.0,3,57590117950304.125,122389758.47245945,0.408248290463863,1.2925054999999999e+40,6499999999.999999,1.0,64033.3186214935,1.2925054999999999e+40,6499999999.999999,1.0
M87* scale example,6500000000.0,1.2925054999999999e+40,1.0,19196705983434.707,19196705983.434708,1.2925054999999999e+40,6499999999.999999,1.0,10,191967059834347.06,67035631.522975065,0.22360679774997896,1.2925054999999999e+40,6499999999.999999,1.0,64033.3186214935,1.2925054999999999e+40,6499999999.999999,1.0
M87* scale example,6500000000.0,1.2925054999999999e+40,1.0,19196705983434.707,19196705983.434708,1.2925054999999999e+40,6499999999.999999,1.0,100,1919670598343470.8,21198528.000038322,0.07071067811865475,1.2925054999999999e+40,6499999999.999999,1.0,64033.3186214935,1.2925054999999999e+40,6499999999.999999,1.0
M87* scale example,6500000000.0,1.2925054999999999e+40,1.0,19196705983434.707,19196705983.434708,1.2925054999999999e+40,6499999999.999999,1.0,1000,1.9196705983434708e+16,6703563.152297506,0.022360679774997897,1.2925054999999999e+40,6499999999.999999,1.0,64033.3186214935,1.2925054999999999e+40,6499999999.999999,1.0
