catalog,z_bin,n,z_mean,lcdm_residual_mean,stam_residual_mean,lcdm_rmse,stam_rmse,observed_distance_mly_mean,lcdm_distance_mly_mean,stam_distance_mly_mean,stam_improvement_rmse
DES,0.00-0.05,141,0.035110283687943264,0.0271285489865897,0.08333391336389949,0.12287782908648018,0.14613588441428693,511.4178591176435,504.1178978537257,491.0607557484771,-0.023258055327806754
DES,0.05-0.10,60,0.065285,0.01360093383184638,0.08577668532033099,0.1240310115733197,0.15016985854877207,965.571879794656,958.2735556255144,926.5185360979901,-0.02613884697545238
DES,0.10-0.20,44,0.16184068181818181,0.18893146348519724,0.30191458306035446,0.5988365510295516,0.6432219970131562,2872.2915441712876,2535.742425754589,2404.9333810708586,-0.04438544598360461
DES,0.20-0.30,158,0.25510379746835443,0.08111357026973615,0.2216854491735606,0.41615027289992496,0.4653118013513433,4499.042008331311,4212.184273139038,3946.6122983609994,-0.04916152845141836
DES,0.30-0.40,282,0.3491218085106383,0.0568241063965229,0.2150967497615119,0.33385494234727336,0.3927251571823521,6272.472092773849,6043.620485963799,5617.9913417278385,-0.05887021483507876
DES,0.40-0.50,273,0.45028336996336993,0.03522064882312719,0.20311270691936256,0.210820587169512,0.29061277016669723,8328.515464920145,8157.214141620633,7549.926018348814,-0.07979218299718524
DES,0.50-0.60,310,0.5501543548387097,0.012694753150193557,0.1823728386715332,0.20859486401106875,0.2767966400111259,10480.318236349516,10370.712119588701,9591.31540068549,-0.06820177600005717
DES,0.60-0.80,422,0.677720924170616,0.0236393678791373,0.18614736823401998,0.22045751183119827,0.2879826514812583,13573.403666331009,13369.246950283345,12408.201281656162,-0.06752513965006002
DES,0.80-1.00,113,0.8734717699115044,0.01751146333617078,0.1554144315392967,0.21356096714433087,0.2634981042916294,18490.649738520708,18247.42160032709,17130.445499415702,-0.04993713714729853
DES,1.00-1.20,17,1.0525488235294116,-0.05107112730581734,0.05343447959394442,0.17119594873367763,0.17315171287515166,22485.370524288355,22965.7688743047,21891.318051685797,-0.0019557641414740257
Pantheon,0.00-0.05,645,0.022779209302325583,-0.08213970454311934,-0.033040553730097524,0.2236003329726561,0.21022255775882745,313.04450310600515,325.1607815052287,317.3928306414093,0.013377775213828658
Pantheon,0.05-0.10,96,0.06729739583333334,-0.09396406564474209,-0.02079403984548837,0.17946896714043462,0.15531928193573008,951.7181895451387,989.3898425417307,956.10624374726,0.024149685204704535
Pantheon,0.10-0.20,207,0.1576061352657005,-0.0884581022739894,0.023032242423503036,0.16658945689941249,0.14342717983724965,2370.0644384099783,2462.8305692575527,2337.4199199919376,0.02316227706216284
Pantheon,0.20-0.30,259,0.24834876447876444,-0.10638959310536497,0.03254670225976264,0.18093767073082503,0.15013849822221184,3899.7200892580954,4085.834074350062,3831.0382473654718,0.030799172508613193
Pantheon,0.30-0.40,186,0.3406213978494624,-0.0949489777536234,0.062088953826739915,0.16440845031398896,0.147381146554318,5627.030499726013,5872.658841733705,5462.094813234443,0.01702730375967096
Pantheon,0.40-0.50,98,0.4410735714285714,-0.10288640494298454,0.06450400555281299,0.17555597007204074,0.1561449469745247,7605.871846004168,7958.808658977903,7367.997113928468,0.01941102309751605
Pantheon,0.50-0.60,81,0.5458097530864198,-0.15242698802013527,0.017300800247619534,0.20685746219804485,0.14087465307424774,9596.519356999963,10272.211392564264,9499.98570889648,0.06598280912379711
Pantheon,0.60-0.80,99,0.6916232323232323,-0.15595845981574724,0.00525803575433576,0.2111701676004466,0.14312098759452718,12775.141304347113,13705.879737822332,12728.370741705907,0.06804918000591942
Pantheon,0.80-1.00,5,0.8889039999999999,-0.21495186176911432,-0.0795942009586014,0.29054918275505,0.20705416263495915,17015.575025823953,18645.604996547518,17524.966890943062,0.08349502012009083
Pantheon,1.00-1.20,6,1.0416933333333334,0.08568451913009056,0.192496803600946,0.1916996156808455,0.2578788117759768,23658.194995351874,22672.137080727716,21587.55697850378,-0.06617919609513132
Pantheon,1.20-1.50,12,1.3229683333333333,-0.11195545896519654,-0.07092309370596261,0.2510894540991855,0.2428062711841497,29019.05475362095,30474.865073045108,29913.87989440271,0.00828318291503577
Pantheon,1.50-2.50,7,1.7683185714285714,-0.18898159058748934,-0.2705794616867446,0.22513685205042638,0.3083013633852047,40044.871062888866,43669.697282624606,45605.722901122295,-0.08316451133477831
