z_bin,trials,z_center,n_des_train_mean,n_union_ref_mean,delta_mu_mean,delta_mu_median,delta_mu_std,des_mu_median_mean,union_mu_median_mean
0.00-0.05,300,0.025,106.0,646.0,0.7471353666666658,0.7447599999999994,0.030571979884294713,36.01363536666666,35.2665
0.05-0.10,300,0.07500000000000001,45.0,97.0,0.09540139999999835,0.1565299999999965,0.07887565542529039,37.2879014,37.1925
0.10-0.15,300,0.125,13.0,86.0,0.19082613333333404,0.17971000000000004,0.1694584183417042,38.99282613333333,38.802
0.15-0.20,300,0.175,20.0,123.0,0.1967352666666632,0.20593999999999824,0.07308390331672751,39.73943526666667,39.5427
0.20-0.25,300,0.225,52.0,140.0,0.12286706666666437,0.12115000000000009,0.010581429909294414,40.257967066666666,40.1351
0.25-0.28,300,0.265,38.0,72.0,0.1340330000000009,0.13947999999999894,0.027695649097461285,40.647933,40.5139
0.28-0.32,300,0.30000000000000004,62.0,100.0,0.030490199999997854,0.032919999999997174,0.019648156847867602,40.932290200000004,40.9018
0.32-0.35,300,0.33499999999999996,81.0,71.0,0.11763913333333463,0.11849000000000132,0.005539041359250417,41.21883913333333,41.1012
0.35-0.40,300,0.375,98.0,66.0,0.0721542666666708,0.07422000000000395,0.012068001241940856,41.45155426666667,41.3794
0.40-0.50,300,0.45,205.0,100.0,0.16549303333333423,0.16942999999999842,0.012215014356027561,41.97859303333333,41.8131
0.50-0.60,300,0.55,232.0,83.0,0.14652153333333054,0.148299999999999,0.008891965012761505,42.46702153333333,42.3205
0.60-0.70,300,0.6499999999999999,221.0,56.0,0.14884096666666327,0.14741999999999678,0.0030624880149468393,42.929340966666665,42.7805
0.70-0.80,300,0.75,95.0,47.0,0.1514174333333367,0.1504500000000064,0.009071763521508512,43.31891743333333,43.1675
0.80-1.00,300,0.9,85.0,7.0,0.14400903333333576,0.14821000000000595,0.024685700464511937,43.67710903333333,43.5331
