trial,z_bin,z_left,z_right,z_center,n_des_train,n_union_ref,des_mu_median,union_mu_median,delta_mu_des_minus_union,valid_bin
0,0.00-0.05,0.0,0.05,0.025,106,646,36.05504,35.2665,0.7885399999999976,True
0,0.05-0.10,0.05,0.1,0.07500000000000001,45,97,37.36253,37.1925,0.17002999999999702,True
0,0.10-0.15,0.1,0.15,0.125,13,86,38.87889,38.802,0.07688999999999879,True
0,0.15-0.20,0.15,0.2,0.175,20,123,39.78048,39.5427,0.23777999999999366,True
0,0.20-0.25,0.2,0.25,0.225,52,140,40.26524,40.1351,0.13013999999999726,True
0,0.25-0.28,0.25,0.28,0.265,38,72,40.65338,40.5139,0.13947999999999894,True
0,0.28-0.32,0.28,0.32,0.30000000000000004,62,100,40.93181,40.9018,0.030009999999997206,True
0,0.32-0.35,0.32,0.35,0.33499999999999996,81,71,41.23123,41.1012,0.13002999999999787,True
0,0.35-0.40,0.35,0.4,0.375,98,66,41.44872,41.3794,0.06932000000000471,True
0,0.40-0.50,0.4,0.5,0.45,205,100,41.96742,41.8131,0.15431999999999846,True
0,0.50-0.60,0.5,0.6,0.55,232,83,42.47573,42.3205,0.15522999999999598,True
0,0.60-0.70,0.6,0.7,0.6499999999999999,221,56,42.93457,42.7805,0.15406999999999726,True
0,0.70-0.80,0.7,0.8,0.75,95,47,43.32008,43.1675,0.15258000000000038,True
0,0.80-1.00,0.8,1.0,0.9,85,7,43.66835,43.5331,0.1352499999999992,True
1,0.00-0.05,0.0,0.05,0.025,106,646,36.01851,35.2665,0.7520099999999985,True
1,0.05-0.10,0.05,0.1,0.07500000000000001,45,97,37.36659,37.1925,0.17408999999999963,True
1,0.10-0.15,0.1,0.15,0.125,13,86,38.87889,38.802,0.07688999999999879,True
1,0.15-0.20,0.15,0.2,0.175,20,123,39.8153,39.5427,0.27259999999999707,True
1,0.20-0.25,0.2,0.25,0.225,52,140,40.25572,40.1351,0.12061999999999529,True
1,0.25-0.28,0.25,0.28,0.265,38,72,40.6058,40.5139,0.09190000000000254,True
1,0.28-0.32,0.28,0.32,0.30000000000000004,62,100,40.93472,40.9018,0.032919999999997174,True
1,0.32-0.35,0.32,0.35,0.33499999999999996,81,71,41.21969,41.1012,0.11849000000000132,True
1,0.35-0.40,0.35,0.4,0.375,98,66,41.43197,41.3794,0.05257000000000289,True
1,0.40-0.50,0.4,0.5,0.45,205,100,41.99425,41.8131,0.18115000000000236,True
1,0.50-0.60,0.5,0.6,0.55,232,83,42.48074,42.3205,0.1602399999999946,True
1,0.60-0.70,0.6,0.7,0.6499999999999999,221,56,42.93625,42.7805,0.1557499999999976,True
1,0.70-0.80,0.7,0.8,0.75,95,47,43.31795,43.1675,0.1504500000000064,True
