catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_original,stam_mu_des,lcdm_mu,z_bin,mu_corrected_catalog_linear_z,raw_resid_to_stam_union,corrected_resid_to_stam_union,corrected_resid_to_lcdm
DES,Gaia16bba,0.0299,35.52993,0.1114,80.58043700382596,35.53287959268674,35.54939027521599,35.68045490844189,35.58619467771704,0.00-0.05,35.045093505987516,-0.002949592686739777,-0.48778608669922363,-0.5411011717295224
DES,2007bd,0.0312,35.70509,0.1008,98.41899722852104,35.62665146041685,35.64315188373395,35.774137785057896,35.680703347060614,0.00-0.05,35.22117568169538,0.0784385395831464,-0.405475778721474,-0.45952766536523626
DES,ASASSN-15lu,0.03635,36.14299,0.1132,78.03818252194434,35.96375952200127,35.98021942804547,36.11089435758482,36.020699698051935,0.00-0.05,35.66272891623036,0.17923047799872904,-0.30103060577091156,-0.35797078182157804
DES,2007co,0.02731,35.4217,0.145,47.562425683709876,35.333430372739116,35.34996153285032,35.481183306798016,35.385268186100234,0.00-0.05,34.9350262482311,0.08826962726088539,-0.3984041245080192,-0.45024193786913713
DES,ASASSN-16db,0.0373,36.00728,0.1211,68.18859054865221,36.02076870709705,36.03722116080971,36.16783888790798,36.07823636853753,0.00-0.05,35.52769281386303,-0.013488707097046415,-0.4930758932340211,-0.5505435546745048
DES,2001eh,0.03725,36.01068,0.1125,79.01234567901234,36.017803991922136,36.03425683769453,36.164877574198655,36.07524393199367,0.00-0.05,35.531057345566566,-0.007123991922135531,-0.4867466463555701,-0.5441865864271023
DES,ASASSN-15bc,0.03753,36.16609,0.1296,59.537418076512736,36.034356285261644,36.05080693574017,36.18141082135794,36.091951406345636,0.00-0.05,35.686665968026716,0.1317337147383526,-0.34769031723492816,-0.40528543831891994
DES,2010dw,0.03902,36.15798,0.1499,44.503763015681784,36.12044690669413,36.1368858849196,36.267400172847985,36.17886541348466,0.00-0.05,35.67961292326112,0.03753309330587484,-0.4408339834330093,-0.49925249022354024
DES,2005ku,0.04439,36.42577,0.1621,38.05694917989178,36.406003034760374,36.422400082943355,36.552592476096756,36.46735571033308,0.00-0.05,35.9512122183005,0.019766965239625733,-0.4547908164598766,-0.5161434920325831
DES,2008gp,0.03333,35.79166,0.0911,120.49339635941253,35.772273085102285,35.788756726625095,35.91961383307411,35.82752545253883,0.00-0.05,35.309256631124406,0.019386914897715712,-0.46301645397787894,-0.5182688214144235
