correction_mode,model,trials,n_test_mean,weighted_rmse_mean,weighted_rmse_median,weighted_rmse_std,weighted_mae_mean,weighted_mean_resid_mean,weighted_mean_resid_median,mean_resid_mean,median_resid_mean,alpha_mean,beta_z_mean,gamma_z2_mean,rank_within_correction
catalog_bin_median_delta,STAM b=354.95 union-style,300,450.0,0.2895401257616923,0.29059481847921825,0.012740160287046215,0.19766348810130002,-0.08537981216781924,-0.0855685060174142,0.0025595671723714934,0.012313205879705873,,,,1.0
catalog_bin_median_delta,STAM b=461.3626922 original,300,450.0,0.29474087874080257,0.29566766533710326,0.012863869490498066,0.19983982406446554,-0.09959557238571559,-0.09975811757060365,-0.01123439825096869,-0.0014512068778952643,,,,2.0
catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,300,450.0,0.3353356807917298,0.33586499295696703,0.012539597468093924,0.2507725547517984,-0.22240282749921125,-0.22268001058852166,-0.14546072074802743,-0.14541601042810318,,,,3.0
catalog_bin_median_delta,STAM b=1335.412792 DES-style,300,450.0,0.3543982410845749,0.35524865912851467,0.013570264124914891,0.24938029036562454,-0.21293567794781543,-0.213188546593274,-0.12131093099466511,-0.11101677661478862,,,,4.0
catalog_linear_z_delta,STAM b=354.95 union-style,300,450.0,0.24726008903846874,0.24772275704499855,0.012780344122656388,0.1997250860257327,-0.08806205217921807,-0.08778422148417658,0.01237700513448903,-0.004992339633215401,0.4751183852016975,-0.6534395677388068,,1.0
catalog_linear_z_delta,STAM b=461.3626922 original,300,450.0,0.2536793786612135,0.25457127649519773,0.013011833719371401,0.20491210648370636,-0.10227781239711442,-0.10197713558937616,-0.0014169602888511536,-0.01847691991030139,0.4751183852016975,-0.6534395677388068,,2.0
catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,300,450.0,0.305415927189745,0.30564265355473785,0.013253654915370476,0.2619081911848516,-0.22508506751061005,-0.2248245265933318,-0.13564328278590992,-0.16656269568511567,0.4751183852016975,-0.6534395677388068,,3.0
catalog_linear_z_delta,STAM b=1335.412792 DES-style,300,450.0,0.32324402855924367,0.3238757465902239,0.014025178561036392,0.2666420910485638,-0.21561791795921428,-0.21533606407046868,-0.11149349303254759,-0.1260141670276667,0.4751183852016975,-0.6534395677388068,,4.0
catalog_quadratic_z_delta,STAM b=354.95 union-style,300,450.0,0.277799697336201,0.27837002933336463,0.013744866998165193,0.21119700149616802,-0.09181169423803409,-0.09239394187676009,0.007804644637088923,0.016066415187794725,0.659295358826487,-2.4117071628427094,2.3873691812970037,1.0
catalog_quadratic_z_delta,STAM b=461.3626922 original,300,450.0,0.2836283533558058,0.28409800206840163,0.013951761879877943,0.21434093911932692,-0.10602745445593044,-0.10662080170563254,-0.005989320786251259,0.002368416162622715,0.659295358826487,-2.4117071628427094,2.3873691812970037,2.0
catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,300,450.0,0.3241859229751571,0.325224716610374,0.013959545406628238,0.25924445441714167,-0.22883470956942606,-0.22923336878191058,-0.14021564328331004,-0.14507984991715103,0.659295358826487,-2.4117071628427094,2.3873691812970037,3.0
catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,300,450.0,0.34789739388190105,0.3482373026506994,0.01487449069328197,0.2644973562936192,-0.2193675600180303,-0.21994959572035905,-0.11606585352994768,-0.10686589436752565,0.659295358826487,-2.4117071628427094,2.3873691812970037,4.0
raw_no_catalog_correction,LCDM fixed H0=70 Om=0.3,300,450.0,0.14610526555992343,0.14603252738306832,0.004684858536892375,0.11266397440239935,-0.006024556380960722,-0.005447382565708684,0.037116048066786894,0.004856873034203382,,,,1.0
raw_no_catalog_correction,STAM b=1335.412792 DES-style,300,450.0,0.1496079835536143,0.14932500813273453,0.004794265109010615,0.11466980679723991,0.0034425931704350865,0.0038933157253313692,0.06126583782014924,0.02643603095373454,,,,2.0
raw_no_catalog_correction,STAM b=461.3626922 original,300,450.0,0.1881151194187786,0.18786204572751045,0.0050839858934419845,0.14959326710450208,0.11678269873253494,0.11717933076836656,0.17134237056384566,0.13813196178513285,,,,3.0
raw_no_catalog_correction,STAM b=354.95 union-style,300,450.0,0.1970948566584885,0.19683154911691303,0.005194145689875368,0.15845670449238572,0.13099845895043127,0.1313664117852895,0.18513633598718585,0.15213212904180556,,,,4.0
