trial,correction_mode,model,n_test,z_min,z_max,weighted_mean_resid,weighted_rmse,weighted_mae,mean_resid,median_resid,alpha,beta_z,gamma_z2
0,catalog_bin_median_delta,STAM b=354.95 union-style,450,0.02509,0.98158,-0.09218776076055478,0.3089720712783261,0.20619735938634565,0.002784732069383943,0.01737403142640659,,,
0,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.02509,0.98158,-0.10637817443268115,0.3142185728331567,0.20857015768997086,-0.011011605437184421,0.0032988914728697694,,,
0,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.02509,0.98158,-0.21952183200893607,0.37314206416746976,0.25914016402398465,-0.12110658209875134,-0.1057658140432558,,,
0,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98158,-0.2296390666675671,0.35316310233603687,0.2589366428049362,-0.14525012055597045,-0.14246814879598801,,,
0,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.02509,0.98158,-0.09237285836265906,0.2604547495285449,0.21329188338073884,0.013675141518268675,-0.023349934217737456,0.5060465352932337,-0.7093659291221818,
0,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.02509,0.98158,-0.10656327203478543,0.26685856125138663,0.2186169756523017,-0.00012119598829968937,-0.03689070704004749,0.5060465352932337,-0.7093659291221818,
0,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.02509,0.98158,-0.21970692961104035,0.33549074931834955,0.2777239766820889,-0.1102161726498666,-0.14487627962650507,0.5060465352932337,-0.7093659291221818,
0,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98158,-0.22982416426967142,0.3167827578361687,0.2721194431178385,-0.13435971110708572,-0.18483007862057477,0.5060465352932337,-0.7093659291221818,
0,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.02509,0.98158,-0.09680701147651005,0.29227068010990076,0.22141626701029232,0.009787300298440584,0.023348949850419132,0.7025878800010852,-2.5856714775126677,2.5476406739210327
0,catalog_quadratic_z_delta,STAM b=461.3626922 original,450,0.02509,0.98158,-0.11099742514863642,0.2981313461177851,0.22484051512482234,-0.004009037208127779,0.009370676343795736,0.7025878800010852,-2.5856714775126677,2.5476406739210327
0,catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,450,0.02509,0.98158,-0.2241410827248913,0.3617851081792146,0.2754292945528813,-0.1141040138696947,-0.1028000646967655,0.7025878800010852,-2.5856714775126677,2.5476406739210327
0,catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98158,-0.23425831738352237,0.3369715482419755,0.27058290488979514,-0.13824755232691383,-0.13754222581550124,0.7025878800010852,-2.5856714775126677,2.5476406739210327
0,raw_no_catalog_correction,STAM b=354.95 union-style,450,0.02509,0.98158,0.13257070734104004,0.20094750028099567,0.1582154504006871,0.1918481098471599,0.14854031961132463,,,
0,raw_no_catalog_correction,STAM b=461.3626922 original,450,0.02509,0.98158,0.11838029366891366,0.19204016633867668,0.1495242671292488,0.17805177234059152,0.13464730122251467,,,
0,raw_no_catalog_correction,STAM b=1335.412792 DES-style,450,0.02509,0.98158,0.005236636092658737,0.15329772914283923,0.11629331303761568,0.0679567956790246,0.022804224115922977,,,
0,raw_no_catalog_correction,LCDM fixed H0=70 Om=0.3,450,0.02509,0.98158,-0.0048805985659722976,0.15012119222286904,0.11596183273424857,0.043813257221805485,0.006237479573453442,,,
1,catalog_bin_median_delta,STAM b=354.95 union-style,450,0.02557,0.96689,-0.10466779202011453,0.28794896796363645,0.19808260952791432,-0.0017044183222158595,0.002373116539899911,,,
1,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.02557,0.96689,-0.11882509438712634,0.29412381392110537,0.20185359851349566,-0.015506007328317205,-0.011416050300688596,,,
1,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.02557,0.96689,-0.23171249937184976,0.35991656171558883,0.26207466251861855,-0.12564209915264749,-0.1225582056665857,,,
1,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.02557,0.96689,-0.2429375895059924,0.3418770785636226,0.2645863995140704,-0.14997083293267344,-0.15932495788034728,,,
1,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.02557,0.96689,-0.09574172191873857,0.24828650947270395,0.20053050897674507,0.00855476085022695,-0.01579866163041288,0.4832715965600937,-0.6596212886743342,
1,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.02557,0.96689,-0.10989902428575037,0.25508107398983626,0.20581529800981965,-0.005246828155874397,-0.02943269886996447,0.4832715965600937,-0.6596212886743342,
1,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.02557,0.96689,-0.2227864292704738,0.3266474507584894,0.268852806652586,-0.1153829199802047,-0.14413385605386964,0.4832715965600937,-0.6596212886743342,
1,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02557,0.96689,-0.23401151940461642,0.3109778186555279,0.2666158278476866,-0.13971165376023065,-0.1768760512737586,0.4832715965600937,-0.6596212886743342,
1,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.02557,0.96689,-0.10026356602057768,0.2775798341052083,0.20560453052415217,0.007584716924483151,0.006750996167443901,0.6712799947282159,-2.454466038267438,2.4370335052089165
