catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_des,stam_mu_original,lcdm_mu,mu_cal_linear_z_to_union,resid_calibrated_to_STAM_union,resid_raw_to_STAM_union
DES,Gaia16bba,0.0299,35.52993,0.1114,80.58043700382596,35.53287959268674,35.68045490844189,35.54939027521599,35.58619467771704,35.423746488992904,-0.10913310369383566,-0.002949592686739777
DES,2007bd,0.0312,35.70509,0.1008,98.41899722852104,35.62665146041685,35.774137785057896,35.64315188373395,35.680703347060614,35.59882283621375,-0.027828624203102947,0.0784385395831464
DES,ASASSN-15lu,0.03635,36.14299,0.1132,78.03818252194434,35.96375952200127,36.11089435758482,35.98021942804547,36.020699698051935,36.036391442511714,0.07263192051044598,0.17923047799872904
DES,2007co,0.02731,35.4217,0.145,47.562425683709876,35.333430372739116,35.481183306798016,35.34996153285032,35.385268186100234,35.31568315106829,-0.017747221670823876,0.08826962726088539
DES,ASASSN-16db,0.0373,36.00728,0.1211,68.18859054865221,36.02076870709705,36.16783888790798,36.03722116080971,36.07823636853753,35.90062031163465,-0.12014839546240097,-0.013488707097046415
DES,2001eh,0.03725,36.01068,0.1125,79.01234567901234,36.017803991922136,36.164877574198655,36.03425683769453,36.07524393199367,35.904023529049226,-0.11378046287291,-0.007123991922135531
DES,ASASSN-15bc,0.03753,36.16609,0.1296,59.537418076512736,36.034356285261644,36.18141082135794,36.05080693574017,36.091951406345636,36.05941551152756,0.025059226265916834,0.1317337147383526
DES,2010dw,0.03902,36.15798,0.1499,44.503763015681784,36.12044690669413,36.267400172847985,36.1368858849196,36.17886541348466,36.051209632573,-0.06923727412112868,0.03753309330587484
DES,2005ku,0.04439,36.42577,0.1621,38.05694917989178,36.406003034760374,36.552592476096756,36.422400082943355,36.46735571033308,36.3186540822468,-0.08734895251357244,0.019766965239625733
DES,2008gp,0.03333,35.79166,0.0911,120.49339635941253,35.772273085102285,35.91961383307411,35.788756726625095,35.82752545253883,35.68525577435252,-0.08701731074976493,0.019386914897715712
DES,2008051,0.03873,36.12057,0.1044,91.74850633431686,36.10394703574454,36.25092000121827,36.120388284452446,36.16220560246641,36.01381829357758,-0.09012874216696076,0.01662296425546117
DES,2005na,0.02748,35.27905,0.0994,101.21088705269847,35.347082953943655,35.494824216543556,35.36361276840899,35.39901811334716,35.17302221185871,-0.17406074208494715,-0.06803295394365705
DES,PS15ahs,0.02534,35.30465,0.1105,81.89840502856207,35.1687976504586,35.3166859708085,35.185344420225974,35.219503464637754,35.19875991720286,0.029962266744256283,0.1358523495414019
DES,ASASSN-16bc,0.03298,35.83813,0.0862,134.58153218382762,35.748985464415185,35.89635011369364,35.76547186116568,35.80404114322722,35.7317482962546,-0.01723716816058385,0.08914453558481483
DES,ASASSN-15pn,0.03909,36.37011,0.1167,73.4274232334647,36.12441158986658,36.27136010180364,36.140850020138515,36.18286868000865,36.26333512819257,0.13892353832599014,0.2456984101334143
DES,2004ef,0.03012,35.5473,0.1369,53.357208905745026,35.54902782862875,35.696588076797866,35.56553677408694,35.60246782288381,35.441102332368736,-0.10792549626001602,-0.0017278286287520928
DES,2004gs,0.02857,35.54768,0.167,35.856430850873096,35.43268787283594,35.580354344595705,35.449209064539296,35.48524591477975,35.441582072220804,0.008894199384862134,0.11499212716405793
DES,2002hd,0.03134,36.00315,0.1791,31.175169850119133,35.63651930634761,35.78399605373377,35.65301862558687,35.69065035459377,35.896873827452914,0.260354521105306,0.36663069365238954
DES,PS15aii,0.04777,36.71031,0.077,168.66250632484397,36.56885003737411,36.71521140182424,36.58522080334666,36.63202298127964,36.602976585021004,0.034126547646891936,0.14145996262588767
DES,2007O,0.03818,36.04309,0.0932,115.12461087881522,36.07231813637128,36.219328477140024,36.088763692889714,36.130272948883345,35.93637368513799,-0.1359444512332928,-0.0292281363712803
DES,2006az,0.03201,35.60595,0.0962,108.05624111237418,35.6831506028854,35.830581533487404,35.699644640368476,35.737659995300845,35.499630714097506,-0.18351988878789172,-0.07720060288539798
DES,ASASSN-16fs,0.02944,35.4407,0.1101,82.49456979494325,35.49873307218202,35.646339902839244,35.51524738795047,35.551786693743956,35.334546089207066,-0.16418698297495382,-0.05803307218202036
DES,SN2017hn,0.02557,35.20203,0.122,67.18624025799517,35.18865852776005,35.33653102879252,35.20520347356047,35.23949687790402,35.096125117095774,-0.09253341066427367,0.013371472239953164
DES,2007ob,0.03243,35.74894,0.1845,29.376987536813036,35.71189434226439,35.859296566416134,35.72838507051981,35.766640483709374,35.64259368781501,-0.06930065444937838,0.03704565773561086
DES,ASASSN-15np,0.03884,36.17443,0.1262,62.78867091452955,36.11021984592251,36.2571853386185,36.126660233339116,36.16853909754104,36.06767121526549,-0.04254863065701642,0.06421015407749309
DES,PSNJ0859349,0.02938,35.55198,0.1347,55.11436506322446,35.49424043585347,35.64185137814284,35.51075522564058,35.547259924579706,35.44582995010456,-0.04841048574891005,0.05773956414653014
DES,2007R,0.03174,35.84381,0.1068,87.67130973923044,35.66447563340419,35.811925024060116,35.68097179894934,35.71883265835731,35.73750808813625,0.07303245473206488,0.17933436659581048
DES,AT2016hns,0.0374,36.13761,0.1017,96.68477572515998,36.02668643843491,36.17374981678684,36.04313810808415,36.084209528950424,36.03094387680548,0.004257438370572686,0.11092356156509453
DES,2009ad,0.02844,35.46983,0.097,106.28122010840684,35.42264901418322,35.570324401972655,35.439171233816865,35.475132883362306,35.36374043749872,-0.05890857668450167,0.04718098581678021
DES,2008hj,0.03682,36.11617,0.0895,124.84004868761899,35.992144778689095,36.13924762006837,36.0086009969467,36.04934612690715,36.00954119881464,0.01739642012554299,0.12402522131090166
DES,Gaia16agf,0.02509,35.25995,0.1773,31.811381412418967,35.14700668945093,35.29491220855198,35.16355544224727,35.19756833058534,35.15407600427577,0.007069314824839523,0.11294331054907047
DES,PS15cwx,0.03086,35.56461,0.1015,97.06617486471401,35.6025038380074,35.75001342687752,35.61900694327166,35.6563633243663,35.458364714632914,-0.14413912337448664,-0.03789383800739898
DES,ASASSN-16ct,0.04306,36.27389,0.154,42.165626581210994,36.33857004190916,36.485249424553224,36.35497745505971,36.399200848021,36.1668596654747,-0.1717103764344543,-0.06468004190915622
DES,2007su,0.0274,35.4032,0.2219,20.30885297426198,35.34066862675387,35.48841538157528,35.357199074437034,35.39255798295743,35.29717735972204,-0.04349126703182549,0.06253137324613078
DES,2003cq,0.03378,35.83146,0.1865,28.750296487432525,35.80186305037493,35.94917307948978,35.818343150815046,35.85736797242649,35.72502681762128,-0.07683623275365647,0.029596949625066316
DES,PS16em,0.07083,37.60601,0.1686,35.17911092536541,37.447865939077076,37.59268999893979,37.46405961900256,37.522922458122515,37.4971927134154,0.04932677433832566,0.15814406092292188
DES,PS16ayd,0.05469,37.0434,0.068,216.2629757785467,36.86975449119051,37.01565111308931,36.88607171058125,36.936590843189244,36.93562129484274,0.06586680365222719,0.1736455088094857
DES,SN2017cjv,0.06092,37.20488,0.1051,90.53042682380334,37.1104233238313,37.25590406150355,37.12669263458162,37.18048591717786,37.096700404985725,-0.013722918845573417,0.09445667616870423
DES,2001ah,0.05886,37.15499,0.1291,59.99948400443757,37.03360805194757,37.17922604238685,37.04989317291567,37.10261133951524,37.04694296246653,0.013334910518963738,0.12138194805243074
DES,2008bz,0.06099,37.36659,0.0716,195.0625760744047,37.11298892091412,37.25846499920433,37.129257694963314,37.183087380899266,37.258405900605304,0.14541697969118417,0.2536010790858825
DES,2006ob,0.05824,37.05644,0.0849,138.7345467056788,37.009976008708186,37.155635358968546,37.026265894109,37.07865903351697,36.94843285840736,-0.06154315030082813,0.04646399129181589
DES,Gaia16acv,0.07859,37.95956,0.0823,147.63873981477244,37.68153568238441,37.82584965788791,37.69767062889364,37.760386379491614,37.85024337067215,0.1687076882877463,0.2780243176155963
DES,PS15bjg,0.06786,37.54095,0.0941,112.9329708937854,37.35181029855147,37.49683053977944,37.368026570935875,37.42538776970928,37.43232382784163,0.0805135292901582,0.1891397014485321
DES,2006oa,0.06153,37.2229,0.1098,82.94597562715452,37.1326849345767,37.278125079095666,37.14894956954996,37.20305979519891,37.11468115252781,-0.018003782048893413,0.09021506542330116
DES,2003ic,0.05126,36.49961,0.1333,56.278135550391724,36.72557125538842,36.87169786416453,36.74191497207776,36.79060236254291,36.392052009483116,-0.33351924590530047,-0.2259612553884196
DES,PS16n,0.05309,36.98166,0.0795,158.22158933586488,36.80362947867475,36.949633292895285,36.81995904762184,36.86962631117626,36.87398425210939,0.07035477343463725,0.17803052132524755
DES,AT2016htn,0.05222,36.98666,0.1272,61.80530833432221,36.76685300763632,36.91291517384182,36.78318929950366,36.83239146126837,36.87904023512313,0.11218722748680676,0.2198069923636794
