body,r_m,r_body_radii,A_Rs_over_r,abs_grad_A_analytic,dA_dr_numeric,abs_grad_A_numeric,g_newton_m_s2,g_from_A_gradient_analytic_m_s2,g_from_A_gradient_numeric_m_s2,ratio_grad_g_to_newton,ratio_numeric_grad_g_to_newton
Earth,6371000.0,1.0,1.3922622621010988e-09,2.1853119794398034e-16,-2.1853119796454772e-16,2.1853119796454772e-16,9.820302293385645,9.820302293385646,9.820302294309897,1.0000000000000002,1.0000000000941165
Earth,6384981.24742219,1.0021945138003752,1.3892136136542653e-09,2.1757520653880272e-16,-2.1757520655897594e-16,2.1757520655897594e-16,9.777342182074081,9.777342182074083,9.777342182980622,1.0000000000000002,1.0000000000927185
Earth,6398993.176884785,1.004393843491569,1.3861716408587142e-09,2.1662339723474164e-16,-2.1662339725714667e-16,2.1662339725714667e-16,9.734570005014342,9.734570005014342,9.734570006021174,1.0,1.0000000001034286
Earth,6413035.855719969,1.0065979996421235,1.3831363290967107e-09,2.1567575173668365e-16,-2.156757517586741e-16,2.156757517586741e-16,9.69198494006503,9.69198494006503,9.691984941053231,1.0,1.0000000001019607
Earth,6427109.351407637,1.0088069928437666,1.3801076637825386e-09,2.1473225182955282e-16,-2.147322518495355e-16,2.147322518495355e-16,9.649586168681452,9.649586168681454,9.64958616957943,1.0000000000000002,1.0000000000930587
Earth,6441213.731575825,1.0110208337114779,1.377085630362409e-09,2.137928793779536e-16,-2.1379287939844898e-16,2.1379287939844898e-16,9.607372875899578,9.607372875899578,9.607372876820595,1.0,1.0000000000958655
Earth,6455349.064000924,1.0132395328835229,1.3740702143144137e-09,2.1285761632582988e-16,-2.128576163452939e-16,2.128576163452939e-16,9.565344250320708,9.56534425032071,9.565344251195379,1.0000000000000002,1.0000000000914417
Earth,6469515.416608117,1.015463101021522,1.3710614011484311e-09,2.1192644469611e-16,-2.1192644471684235e-16,2.1192644471684235e-16,9.523499484095531,9.523499484095531,9.523499485027196,1.0,1.000000000097828
Earth,6483712.857471593,1.0176915488104838,1.3680591764060801e-09,2.1099934659036897e-16,-2.10999346611989e-16,2.10999346611989e-16,9.48183777290894,9.48183777290894,9.481837773880494,1.0,1.000000000102465
Earth,6497941.454814987,1.0199248869588742,1.3650635256606285e-09,2.100763041884771e-16,-2.1007630420944181e-16,2.1007630420944181e-16,9.44035831596424,9.44035831596424,9.440358316906348,1.0,1.000000000099796
