x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,dA_dx_analytic,dA_dx_numeric,accel_newton_x_m_s2,accel_from_A_gradient_x_analytic_m_s2,accel_from_A_gradient_x_numeric_m_s2,ratio_A_accel_to_newton,ratio_A_numeric_accel_to_newton
6371000.0,0.0165738813735692,6371000.0,378029000.0,1.3925507207574235e-09,-2.1853043488438353e-16,-2.1430974021808654e-16,-9.820268003197429,-9.82026800319743,-9.630599443737365,1.0000000000000002,0.9806860098524492
6496472.357452484,0.016900292293060573,6496472.357452484,377903527.6425475,1.3656607724272307e-09,-2.1017056371247632e-16,-2.1024899266712294e-16,-9.444594127731218,-9.444594127731218,-9.448118549188797,1.0,1.0003731681224108
6621944.714904969,0.017226703212551948,6621944.714904969,377778055.28509504,1.3397898472335155e-09,-2.022813833367635e-16,-2.0235403382213432e-16,-9.09007204179818,-9.09007204179818,-9.093336791796418,1.0,1.0003591555691995
6747417.0723574525,0.017553114132043322,6747417.0723574525,377652582.9276425,1.314881097099865e-09,-1.9482821024418364e-16,-1.9489560479029797e-16,-8.755143146049278,-8.755143146049278,-8.75817170591622,1.0,1.0003459178012766
6872889.429809936,0.017879525051534693,6872889.429809936,377527110.5701901,1.2908818252531828e-09,-1.8777949767982199e-16,-1.8784210312555124e-16,-8.43838980001691,-8.438389800016912,-8.441203148445227,1.0000000000000002,1.000333398728311
6998361.787262421,0.018205935971026068,6998361.787262421,377401638.21273756,1.2677431140838736e-09,-1.811065012797995e-16,-1.811647355765026e-16,-8.138520296406293,-8.138520296406295,-8.141137215193394,1.0000000000000002,1.000321547245911
7123834.144714905,0.018532346890517443,7123834.144714905,377276165.8552851,1.2454194923331037e-09,-1.7478298555997738e-16,-1.748372236415484e-16,-7.854355671355604,-7.854355671355604,-7.856793009190439,1.0,1.0003103167130214
7249306.502167389,0.018858757810008817,7249306.502167389,377150693.4978326,1.223868636842369e-09,-1.6878496565322413e-16,-1.688355445142532e-16,-7.584818098687553,-7.5848180986875535,-7.587090999351777,1.0000000000000002,1.0002996644922333
7374778.859619874,0.019185168729500192,7374778.859619874,377025221.14038014,1.203051104749149e-09,-1.630904795391342e-16,-1.6313770263933152e-16,-7.328920654423392,-7.328920654423393,-7.33104275471631,1.0000000000000002,1.000289551544215
7500251.217072357,0.019511579648991563,7500251.217072357,376899748.78292763,1.1829300925632906e-09,-1.57679386720058e-16,-1.5772352781387383e-16,-7.0857582697348755,-7.0857582697348755,-7.08774187156798,1.0,1.0002799420693727
7625723.574524842,0.01983799056848294,7625723.574524842,376774276.4254752,1.1634712190280903e-09,-1.5253318989144187e-16,-1.525744963659316e-16,-6.854499717208988,-6.854499717208989,-6.856355937602139,1.0000000000000002,1.0002708031905656
7751195.931977326,0.020164401487974312,7751195.931977326,376648804.06802267,1.1446423290709727e-09,-1.4763487665323792e-16,-1.4767357244405166e-16,-6.634380497713442,-6.634380497713443,-6.636119399832902,1.0000000000000002,1.000262104671274
7876668.28942981,0.020490812407465687,7876668.28942981,376523331.7105702,1.1264133164921195e-09,-1.4296877872909702e-16,-1.4300506687368194e-16,-6.424696514022704,-6.424696514022706,-6.4263272219163285,1.0000000000000002,1.0002538186652186
8002140.646882294,0.02081722332695706,8002140.646882294,376397859.3531177,1.108755963334391e-09,-1.3852044651469693e-16,-1.3855451139267933e-16,-6.22479843330101,-6.224798433301011,-6.226329232575997,1.0000000000000002,1.000245919493039
8127613.0043347785,0.021143634246448436,8127613.0043347785,376272386.9956652,1.0916437941318862e-09,-1.3427653707687559e-16,-1.343085463801144e-16,-6.03408665403441,-6.034086654034412,-6.035525080387093,1.0000000000000002,1.0002383834431217
8253085.361787262,0.021470045165939807,8253085.361787262,376146914.63821274,1.0750519434537327e-09,-1.302247139802569e-16,-1.3025482044869148e-16,-5.852006804463837,-5.852006804463837,-5.8533597216847895,1.0,1.0002311885932738
8378557.719239747,0.021796456085431185,8378557.719239747,376021442.2807602,1.0589570353493911e-09,-1.2635355753517543e-16,-1.2638190048936508e-16,-5.678045709327967,-5.678045709327968,-5.6793193781709,1.0000000000000002,1.000224314651226
8504030.076692231,0.022122867004922556,8504030.076692231,375895969.9233078,1.043337073466281e-09,-1.2265248424603224e-16,-1.2267919094274637e-16,-5.51172777005287,-5.511727770052871,-5.512927909151809,1.0000000000000002,1.000217742811149
8629502.434144715,0.02244927792441393,8629502.434144715,375770497.56585526,1.0281713407534916e-09,-1.191116743977932e-16,-1.191368612313515e-16,-5.352611710651511,-5.352611710651512,-5.353743550506338,1.0000000000000002,1.0002114556250314
8754974.791597199,0.022775688843905302,8754974.791597199,375645025.2084028,1.0134403077899067e-09,-1.1572200685435977e-16,-1.1574578042316267e-16,-5.2002876477086675,-5.2002876477086675,-5.2013559786126,1.0,1.0002054368866313
8880447.149049684,0.02310209976339668,8880447.149049684,375519552.8509503,9.99125548883748e-10,-1.1247500025948228e-16,-1.124974583145212e-16,-5.054374448081729,-5.05437444808173,-5.055383662745259,1.0000000000000002,1.0001996715268915
9005919.506502166,0.02342851068288805,9005919.506502166,375394080.49349785,9.852096651856359e-10,-1.0936275993164716e-16,-1.0938399222149176e-16,-4.9145173424759605,-4.914517342475961,-4.915471473998674,1.0000000000000002,1.000194145519534
9131391.863954652,0.02375492160237943,9131391.863954652,375268608.13604534,9.716762141405584e-10,-1.0637792983138397e-16,-1.0639801885618785e-16,-4.780385766962906,-4.780385766962907,-4.78128852271682,1.0000000000000002,1.0001888457956998
9256864.221407136,0.0240813325218708,9256864.221407136,375143135.7785929,9.585096446773162e-10,-1.0351364905474104e-16,-1.0353267074011861e-16,-4.651671407894699,-4.6516714078947,-4.652526199806769,1.0000000000000002,1.0001837601664252
9382336.57885962,0.024407743441362175,9382336.57885962,375017663.4211404,9.456952375983293e-10,-1.0076351237197477e-16,-1.0078153667223815e-16,-4.528086428601186,-4.528086428601186,-4.528896400261426,1.0,1.000178877252679
9507808.936312104,0.024734154360853546,9507808.936312104,374892191.0636879,9.33219050689417e-10,-9.812153438724125e-17,-9.813862582618734e-17,-4.40936185880679,-4.40936185880679,-4.410129909770033,1.0,1.0001741864214908
9633281.293764587,0.02506056528034492,9633281.293764587,374766718.7062354,9.210678681192114e-10,-9.558211694447559e-17,-9.559833510092185e-17,-4.295246129923778,-4.295246129923778,-4.29597493752856,1.0,1.0001696777280595
9758753.651217073,0.0253869761998363,9758753.651217073,374641246.3487829,9.092291537421264e-10,-9.31400194477339e-17,-9.315541939206686e-17,-4.185503741314937,-4.185503741314938,-4.186195780301013,1.0000000000000002,1.0001653418629746
9884226.008669557,0.025713387119327673,9884226.008669557,374515773.99133044,8.976910079580163e-10,-9.07903318019277e-17,-9.080496448916061e-17,-4.079914044310825,-4.079914044310825,-4.080571604482296,1.0,1.0001611701041566
10009698.36612204,0.026039798038819045,10009698.36612204,374390301.63387793,8.864421278164384e-10,-8.852844971284423e-17,-8.854236233698823e-17,-3.9782701322480336,-3.978270132248034,-3.978895334397996,1.0000000000000002,1.0001571542728822
10135170.723574525,0.02636620895831042,10135170.723574525,374264829.2764255,8.754717700843485e-10,-8.635005211425709e-17,-8.636328842824463e-17,-3.880377826094132,-3.8803778260941324,-3.8809726363813164,1.0000000000000002,1.0001532866936782
10260643.081027009,0.02669261987780179,10260643.081027009,374139356.91897297,8.64769717023557e-10,-8.4251080515326e-17,-8.426368112021171e-17,-3.786054746366091,-3.7860547463660916,-3.786620989310904,1.0000000000000002,1.0001495601576698
10386115.438479494,0.02701903079729317,10386115.438479494,374013884.5615205,8.543262446487939e-10,-8.222772008383237e-17,-8.223972269053908e-17,-3.6951294630532883,-3.6951294630532883,-3.695668833300088,1.0,1.0001459678888636
10511587.795931978,0.027345441716784543,10511587.795931978,373888412.204068,8.441320932591159e-10,-8.027638230049341e-17,-8.028782196701399e-17,-3.6074407161412525,-3.607440716141253,-3.6079547891176724,1.0000000000000002,1.0001425035133966
10637060.153384462,0.027671852636275914,10637060.153384462,373762939.84661555,8.341784400549408e-10,-7.839368903698252e-17,-7.840459838358556e-17,-3.5228367001135856,-3.5228367001135865,-3.523326941701392,1.0000000000000002,1.000139161031163
10762532.510836946,0.02799826355576729,10762532.510836946,373637467.48916304,8.244568736705085e-10,-7.657645792565664e-17,-7.658686733037765e-17,-3.441174406500296,-3.4411744065002963,-3.441642181820325,1.0000000000000002,1.000135934789921
10888004.86828943,0.028324674475258663,10888004.86828943,373511995.1317106,8.149593704672546e-10,-7.482168890260072e-17,-7.483162667901133e-17,-3.3623190191523737,-3.3623190191523737,-3.362765600553082,1.0,1.00013281946126
11013477.225741915,0.02865108539475004,11013477.225741915,373386522.7742581,8.05678272447669e-10,-7.312655181766831e-17,-7.313604437672037e-17,-3.286143357464782,-3.286143357464782,-3.286569931795157,1.0,1.0001298100186062
11138949.583194397,0.02897749631424141,11138949.583194397,373261050.4168056,7.966062666618614e-10,-7.148837501591485e-17,-7.149744701345243e-17,-3.2125273632516596,-3.21252736325166,-3.212935038490079,1.0000000000000002,1.0001269017170353
11264421.940646883,0.029303907233732787,11264421.940646883,373135578.0593531,7.87736365990445e-10,-6.990463480434964e-17,-6.991330927568624e-17,-3.1413576274057604,-3.1413576274057613,-3.14174743870759,1.0000000000000002,1.0001240900744406
11389894.298099367,0.02963031815322416,11389894.298099367,373010105.70190066,7.790618911976113e-10,-6.837294572641973e-17,-6.838124420925008e-17,-3.0725269528555543,-3.0725269528555548,-3.0728998680765263,1.0000000000000002,1.0001213708542493
11515366.65555185,0.029956729072715533,11515366.65555185,372884633.34444815,7.705764541575077e-10,-6.689105157420396e-17,-6.689899422098186e-17,-3.0059339506733678,-3.005933950673368,-3.0062908754195936,1.0000000000000002,1.000118740049543
11640839.013004335,0.030283139992206907,11640839.013004335,372759160.98699564,7.622739421653979e-10,-6.545681707505235e-17,-6.546442275582767e-17,-2.941482666491592,-2.9414826664915927,-2.941824448740824,1.0000000000000002,1.0001161938681895
11766311.370456818,0.03060955091169828,11766311.370456818,372633688.6295432,7.541485032526283e-10,-6.406822019544422e-17,-6.407550659207086e-17,-2.8790822346553124,-2.879082234655313,-2.8794096689904394,1.0000000000000002,1.0001137287192376
11891783.727909304,0.030935961831189657,11891783.727909304,372508216.2720907,7.461945324312593e-10,-6.27233450102438e-17,-6.273032870275815e-17,-2.8186465577826367,-2.818646557782637,-2.8189603892733364,1.0000000000000002,1.0001113412002058
12017256.085361786,0.03126237275068103,12017256.085361786,372382743.9146382,7.384066588004198e-10,-6.142037509037607e-17,-6.14270716362711e-17,-2.760094009621666,-2.760094009621666,-2.760394937386806,1.0,1.0001090280853082
12142728.442814272,0.031588783670172406,12142728.442814272,372257271.5571857,7.307797334520481e-10,-6.015758736629115e-17,-6.016401137334633e-17,-2.703347159288336,-2.7033471592883362,-2.7036358397687907,1.0000000000000002,1.000106786314685
12268200.800266756,0.03191519458966378,12268200.800266756,372131799.19973326,7.233088181187959e-10,-5.893334642849014e-17,-5.893951162172429e-17,-2.648332515144822,-2.6483325151448223,-2.6486095651121775,1.0000000000000002,1.0001046129841216
12393673.15771924,0.03224160550915515,12393673.15771924,372006326.84228075,7.159891745114965e-10,-5.774609922989477e-17,-5.775201851317926e-17,-2.594980286735903,-2.594980286735904,-2.595246286061221,1.0000000000000004,1.000102505335658
12519145.515171725,0.032568016428646526,12519145.515171725,371880854.4848283,7.088162542978197e-10,-5.659437015800461e-17,-5.660005567081592e-17,-2.5432241633427526,-2.5432241633427526,-2.5434796575468996,1.0,1.0001004607489303
12644617.872624207,0.0328944273481379,12644617.872624207,371755382.1273758,7.017856896775783e-10,-5.547675644763418e-17,-5.548221961736367e-17,-2.4930011078416174,-2.493001107841618,-2.4932466104459525,1.0000000000000002,1.0000984767329477
12770090.230076693,0.033220838267629275,12770090.230076693,371629909.7699233,6.948932845136455e-10,-5.4391923907590946e-17,-5.439717549780315e-17,-2.4442511646703142,-2.4442511646703142,-2.4444871593653055,1.0,1.0000965509184991
12895562.587529177,0.03354724918712065,12895562.587529177,371504437.4124708,6.881350059806463e-10,-5.333860293697875e-17,-5.334365309197062e-17,-2.396917280809824,-2.396917280809824,-2.3971442234574423,1.0,1.0000946810511298
13021034.94498166,0.03387366010661202,13021034.94498166,371378965.05501837,6.815069766964914e-10,-5.231558480890703e-17,-5.232044309487759e-17,-2.350945138782518,-2.3509451387825187,-2.3511634592663104,1.0000000000000002,1.0000928649844654
13146507.302434146,0.034200071026103396,13146507.302434146,371253492.69756585,6.750054673045007e-10,-5.1321718201288014e-17,-5.1326393644411013e-17,-2.306283000753959,-2.3062830007539596,-2.306493104689944,1.0000000000000002,1.0000911006740787
