body,r_body_radii,r_m,eps_fraction,eps_m,expected_dA_dr,numeric_dA_dr,relative_error_dA_dr,expected_g_m_s2,g_from_numeric_derivative_m_s2,relative_error_g,ratio_g_num_to_expected
Earth,1.0,6371000.0,0.01,63710.0,-2.1853119794398034e-16,-2.1855305324930396e-16,0.00010001000099409631,9.820302293385645,9.82128442182777,0.00010001000099421339,1.0001000100009942
Earth,1.0,6371000.0,0.001,6371.0,-2.1853119794398034e-16,-2.1853141647540422e-16,1.0000010339063037e-06,9.820302293385645,9.820312113698092,1.0000010340096074e-06,1.000001000001034
Earth,1.0,6371000.0,0.0001,637.1,-2.1853119794398034e-16,-2.1853120012906425e-16,9.998956379806384e-09,9.820302293385645,9.82030239157842,9.998956433977704e-09,1.0000000099989563
Earth,1.0,6371000.0,1e-05,63.71000000000001,-2.1853119794398034e-16,-2.1853119796454772e-16,9.411644163237918e-11,9.820302293385645,9.820302294309897,9.41165197141829e-11,1.0000000000941165
Earth,1.0,6371000.0,1e-06,6.3709999999999996,-2.1853119794398034e-16,-2.185311979499413e-16,2.7277356874787184e-11,9.820302293385645,9.820302293653517,2.7277453078520926e-11,1.0000000000272775
Earth,1.0,6371000.0,1e-07,0.6371,-2.1853119794398034e-16,-2.1853119793371186e-16,-4.6988618743479164e-11,9.820302293385645,9.820302292924204,-4.6988437796677856e-11,0.9999999999530116
Earth,1.5,9556500.0,0.01,95565.0,-9.712497686399127e-17,-9.713469033302434e-17,0.00010001000099777665,4.364578797060287,4.365015298590136,0.00010001000099787631,1.0001000100009978
Earth,1.5,9556500.0,0.001,9556.5,-9.712497686399127e-17,-9.712507398906314e-17,1.0000009782077244e-06,4.364578797060287,4.3645831616433535,1.000000978206225e-06,1.0000010000009782
Earth,1.5,9556500.0,0.0001,955.6500000000001,-9.712497686399127e-17,-9.712497783528393e-17,1.0000441698754713e-08,4.364578797060287,4.364578840708003,1.0000441667683139e-08,1.0000000100004416
Earth,1.5,9556500.0,1e-05,95.56500000000001,-9.712497686399127e-17,-9.712497687331264e-17,9.597302333848635e-11,4.364578797060287,4.364578797479169,9.597302227712936e-11,1.000000000095973
Earth,1.5,9556500.0,1e-06,9.5565,-9.712497686399127e-17,-9.712497686844384e-17,4.584379437572921e-11,4.364578797060287,4.364578797260376,4.5843790132695465e-11,1.0000000000458438
Earth,1.5,9556500.0,1e-07,0.95565,-9.712497686399127e-17,-9.712497684139481e-17,-2.3265336037645907e-10,4.364578797060287,4.364578796044853,-2.3265336848161252e-10,0.9999999997673467
Earth,2.0,12742000.0,0.01,127420.0,-5.4632799485995085e-17,-5.463826331232599e-17,0.00010001000099409631,2.455075573346411,2.4553211054569424,0.00010001000099421339,1.0001000100009942
Earth,2.0,12742000.0,0.001,12742.0,-5.4632799485995085e-17,-5.4632854118851056e-17,1.0000010339063037e-06,2.455075573346411,2.455078028424523,1.0000010340096074e-06,1.000001000001034
Earth,2.0,12742000.0,0.0001,1274.2,-5.4632799485995085e-17,-5.4632800032266064e-17,9.998956379806384e-09,2.455075573346411,2.455075597894605,9.998956433977704e-09,1.0000000099989563
Earth,2.0,12742000.0,1e-05,127.42000000000002,-5.4632799485995085e-17,-5.463279949113693e-17,9.411644163237918e-11,2.455075573346411,2.4550755735774743,9.41165197141829e-11,1.0000000000941165
Earth,2.0,12742000.0,1e-06,12.741999999999999,-5.4632799485995085e-17,-5.4632799487485323e-17,2.7277356874787184e-11,2.455075573346411,2.4550755734133793,2.7277453078520926e-11,1.0000000000272775
Earth,2.0,12742000.0,1e-07,1.2742,-5.4632799485995085e-17,-5.4632799483427965e-17,-4.6988618743479164e-11,2.455075573346411,2.455075573231051,-4.6988437796677856e-11,0.9999999999530116
Earth,5.0,31855000.0,0.01,318550.0,-8.741247917759213e-18,-8.74212212997224e-18,0.00010001000100348752,0.3928120917354258,0.39285137687311444,0.00010001000100347814,1.0001000100010036
Earth,5.0,31855000.0,0.001,31855.0,-8.741247917759213e-18,-8.74125665901633e-18,1.0000010524771971e-06,0.3928120917354258,0.39281248454793094,1.0000010524091222e-06,1.0000010000010524
Earth,5.0,31855000.0,0.0001,3185.5,-8.741247917759213e-18,-8.741248005165816e-18,9.999327804724584e-09,0.3928120917354258,0.3928120956632827,9.999327810236376e-09,1.0000000099993278
Earth,5.0,31855000.0,1e-05,318.55,-8.741247917759213e-18,-8.741247918646828e-18,1.0154326903897591e-10,0.3928120917354258,0.39281209177531323,1.0154327612140713e-10,1.0000000001015432
Earth,5.0,31855000.0,1e-06,31.854999999999997,-8.741247917759213e-18,-8.741247917348475e-18,-4.698844953260548e-11,0.3928120917354258,0.3928120917169682,-4.698843214398514e-11,0.9999999999530116
Earth,5.0,31855000.0,1e-07,3.1854999999999998,-8.741247917759213e-18,-8.741247920594357e-18,3.243409350270114e-10,0.3928120917354258,0.39281209186283084,3.2434090917815445e-10,1.000000000324341
Earth,10.0,63710000.0,0.01,637100.0,-2.1853119794398032e-18,-2.18553053249306e-18,0.00010001000100348752,0.09820302293385645,0.09821284421827861,0.00010001000100347814,1.0001000100010036
Earth,10.0,63710000.0,0.001,63710.0,-2.1853119794398032e-18,-2.1853141647540826e-18,1.0000010524771971e-06,0.09820302293385645,0.09820312113698274,1.0000010524091222e-06,1.0000010000010524
Earth,10.0,63710000.0,0.0001,6371.0,-2.1853119794398032e-18,-2.185312001291454e-18,9.999327804724584e-09,0.09820302293385645,0.09820302391582067,9.999327810236376e-09,1.0000000099993278
Earth,10.0,63710000.0,1e-05,637.1,-2.1853119794398032e-18,-2.185311979661707e-18,1.0154326903897591e-10,0.09820302293385645,0.09820302294382831,1.0154327612140713e-10,1.0000000001015432
Earth,10.0,63710000.0,1e-06,63.709999999999994,-2.1853119794398032e-18,-2.1853119793371188e-18,-4.698844953260548e-11,0.09820302293385645,0.09820302292924205,-4.698843214398514e-11,0.9999999999530116
Earth,10.0,63710000.0,1e-07,6.3709999999999996,-2.1853119794398032e-18,-2.1853119801485893e-18,3.243409350270114e-10,0.09820302293385645,0.09820302296570771,3.2434090917815445e-10,1.000000000324341
Earth,25.0,159275000.0,0.01,1592750.0,-3.4964991671036855e-19,-3.4968488519888713e-19,0.00010001000099636545,0.01571248366941703,0.015714055074924467,0.0001000100009964741,1.0001000100009965
Earth,25.0,159275000.0,0.001,159275.0,-3.4964991671036855e-19,-3.4965026636063296e-19,1.0000009944321388e-06,0.01571248366941703,0.01571249938191633,1.0000009946721655e-06,1.0000010000009947
Earth,25.0,159275000.0,0.0001,15927.5,-3.4964991671036855e-19,-3.49649920206795e-19,9.999791988928601e-09,0.01571248366941703,0.0157124838265386,9.999792046457914e-09,1.000000009999792
Earth,25.0,159275000.0,1e-05,1592.7500000000002,-3.4964991671036855e-19,-3.4964991674465583e-19,9.806174980467425e-11,0.01571248366941703,0.015712483670957827,9.806185333700174e-11,1.0000000000980618
Earth,25.0,159275000.0,1e-06,159.275,-3.4964991671036855e-19,-3.496499167223404e-19,3.4239588947820566e-11,0.01571248366941703,0.01571248366995502,3.4239640461923725e-11,1.0000000000342397
Earth,25.0,159275000.0,1e-07,15.927499999999998,-3.4964991671036855e-19,-3.496499168237743e-19,3.243408083391827e-10,0.01571248366941703,0.015712483674513233,3.2434090917815445e-10,1.000000000324341
Earth,50.0,318550000.0,0.01,3185500.0,-8.741247917759214e-20,-8.742122129972178e-20,0.00010001000099636545,0.003928120917354258,0.003928513768731117,0.0001000100009964741,1.0001000100009965
Earth,50.0,318550000.0,0.001,318550.0,-8.741247917759214e-20,-8.741256659015824e-20,1.0000009944321388e-06,0.003928120917354258,0.003928124845479082,1.0000009946721655e-06,1.0000010000009947
Earth,50.0,318550000.0,0.0001,31855.0,-8.741247917759214e-20,-8.741248005169875e-20,9.999791988928601e-09,0.003928120917354258,0.00392812095663465,9.999792046457914e-09,1.000000009999792
Earth,50.0,318550000.0,1e-05,3185.5000000000005,-8.741247917759214e-20,-8.741247918616396e-20,9.806174980467425e-11,0.003928120917354258,0.003928120917739457,9.806185333700174e-11,1.0000000000980618
Earth,50.0,318550000.0,1e-06,318.55,-8.741247917759214e-20,-8.74124791805851e-20,3.4239588947820566e-11,0.003928120917354258,0.003928120917488755,3.4239640461923725e-11,1.0000000000342397
Earth,50.0,318550000.0,1e-07,31.854999999999997,-8.741247917759214e-20,-8.741247920594357e-20,3.243408083391827e-10,0.003928120917354258,0.003928120918628308,3.2434090917815445e-10,1.000000000324341
Earth,100.0,637100000.0,0.01,6371000.0,-2.1853119794398034e-20,-2.1855305324930446e-20,0.00010001000099636545,0.0009820302293385645,0.0009821284421827792,0.0001000100009964741,1.0001000100009965
Earth,100.0,637100000.0,0.001,637100.0,-2.1853119794398034e-20,-2.185314164753956e-20,1.0000009944321388e-06,0.0009820302293385645,0.0009820312113697706,1.0000009946721655e-06,1.0000010000009947
Earth,100.0,637100000.0,0.0001,63710.0,-2.1853119794398034e-20,-2.1853120012924687e-20,9.999791988928601e-09,0.0009820302293385645,0.0009820302391586625,9.999792046457914e-09,1.000000009999792
Earth,100.0,637100000.0,1e-05,6371.000000000001,-2.1853119794398034e-20,-2.185311979654099e-20,9.806174980467425e-11,0.0009820302293385645,0.0009820302294348642,9.806185333700174e-11,1.0000000000980618
Earth,100.0,637100000.0,1e-06,637.1,-2.1853119794398034e-20,-2.1853119795146276e-20,3.4239588947820566e-11,0.0009820302293385645,0.0009820302293721888,3.4239640461923725e-11,1.0000000000342397
Earth,100.0,637100000.0,1e-07,63.709999999999994,-2.1853119794398034e-20,-2.1853119801485893e-20,3.243408083391827e-10,0.0009820302293385645,0.000982030229657077,3.2434090917815445e-10,1.000000000324341
Moon,1.0,1737400.0,0.01,17374.0,-3.612510010960942e-17,-3.6128712980907374e-17,0.00010001000099630812,1.623381040294872,1.6235433946343294,0.00010001000099633827,1.0001000100009962
Moon,1.0,1737400.0,0.001,1737.4,-3.612510010960942e-17,-3.612513623474358e-17,1.0000009425414724e-06,1.623381040294872,1.6233826636774427,1.0000009426607547e-06,1.0000010000009427
Moon,1.0,1737400.0,0.0001,173.74,-3.612510010960942e-17,-3.6125100470889e-17,1.0000791043830217e-08,1.623381040294872,1.6233810565299667,1.0000791064478022e-08,1.000000010000791
Moon,1.0,1737400.0,1e-05,17.374000000000002,-3.612510010960942e-17,-3.612510011340292e-17,1.0500999294755381e-10,1.623381040294872,1.6233810404653435,1.050101057796969e-10,1.00000000010501
Moon,1.0,1737400.0,1e-06,1.7373999999999998,-3.612510010960942e-17,-3.6125100109311416e-17,-8.249237565977317e-12,1.623381040294872,1.6233810402814806,-8.249147791325809e-12,0.9999999999917508
Moon,1.0,1737400.0,1e-07,0.17374,-3.612510010960942e-17,-3.612510008327455e-17,-7.289909275491925e-10,1.623381040294872,1.623381039111442,-7.289909092636413e-10,0.9999999992710091
Moon,1.5,2606100.0,0.01,26061.0,-1.6055600048715297e-17,-1.6057205769292123e-17,0.00010001000099364249,0.7215026845754987,0.7215748420597,0.00010001000099363688,1.0001000100009936
Moon,1.5,2606100.0,0.001,2606.1,-1.6055600048715297e-17,-1.605561610433296e-17,1.0000010970632683e-06,0.7215026845754987,0.7215034060789748,1.0000010970159742e-06,1.000001000001097
Moon,1.5,2606100.0,0.0001,260.61,-1.6055600048715297e-17,-1.6055600209259203e-17,9.999246678874557e-09,0.7215026845754987,0.721502691789982,9.9992467087067e-09,1.0000000099992468
Moon,1.5,2606100.0,1e-05,26.061000000000003,-1.6055600048715297e-17,-1.605560005048395e-17,1.1015806805913978e-10,0.7215026845754987,0.721502684654978,1.1015802674032004e-10,1.000000000110158
Moon,1.5,2606100.0,1e-06,2.6061,-1.6055600048715297e-17,-1.6055600048996135e-17,1.749156449428763e-11,0.7215026845754987,0.721502684588119,1.7491602536789937e-11,1.0000000000174916
Moon,1.5,2606100.0,1e-07,0.26061,-1.6055600048715297e-17,-1.6055600057675087e-17,5.580476400556481e-10,0.7215026845754987,0.7215026849781316,5.580477184723698e-10,1.0000000005580476
Moon,2.0,3474800.0,0.01,34748.0,-9.031275027402355e-18,-9.032178245226844e-18,0.00010001000099630812,0.405845260073718,0.40588584865858235,0.00010001000099633827,1.0001000100009962
Moon,2.0,3474800.0,0.001,3474.8,-9.031275027402355e-18,-9.031284058685895e-18,1.0000009425414724e-06,0.405845260073718,0.40584566591936067,1.0000009426607547e-06,1.0000010000009427
Moon,2.0,3474800.0,0.0001,347.48,-9.031275027402355e-18,-9.03127511772225e-18,1.0000791043830217e-08,0.405845260073718,0.40584526413249167,1.0000791064478022e-08,1.000000010000791
Moon,2.0,3474800.0,1e-05,34.748000000000005,-9.031275027402355e-18,-9.03127502835073e-18,1.0500999294755381e-10,0.405845260073718,0.40584526011633587,1.050101057796969e-10,1.00000000010501
Moon,2.0,3474800.0,1e-06,3.4747999999999997,-9.031275027402355e-18,-9.031275027327854e-18,-8.249237565977317e-12,0.405845260073718,0.40584526007037014,-8.249147791325809e-12,0.9999999999917508
Moon,2.0,3474800.0,1e-07,0.34748,-9.031275027402355e-18,-9.031275020818638e-18,-7.289909275491925e-10,0.405845260073718,0.4058452597778605,-7.289909092636413e-10,0.9999999992710091
Moon,5.0,8687000.0,0.01,86870.0,-1.4450040043843768e-18,-1.4451485192363022e-18,0.00010001000100134086,0.06493524161179488,0.0649417357853735,0.0001000100010013649,1.0001000100010013
Moon,5.0,8687000.0,0.001,8687.0,-1.4450040043843768e-18,-1.445005449389799e-18,1.0000009811505961e-06,0.06493524161179488,0.06493530654710021,1.0000009812153647e-06,1.0000010000009811
Moon,5.0,8687000.0,0.0001,868.7,-1.4450040043843768e-18,-1.4450040188331424e-18,9.999118003120035e-09,0.06493524161179488,0.06493524226109003,9.999118033764158e-09,1.000000009999118
Moon,5.0,8687000.0,1e-05,86.87,-1.4450040043843768e-18,-1.4450040045119396e-18,8.827851958989431e-11,0.06493524161179488,0.06493524161752727,8.827851633696271e-11,1.0000000000882785
Moon,5.0,8687000.0,1e-06,8.687,-1.4450040043843768e-18,-1.4450040045398365e-18,1.0758428107346871e-10,0.06493524161179488,0.06493524161878089,1.075842457825831e-10,1.0000000001075842
Moon,5.0,8687000.0,1e-07,0.8686999999999999,-1.4450040043843768e-18,-1.4450040031450047e-18,-8.576945966486491e-10,0.06493524161179488,0.06493524155610028,-8.576945326738096e-10,0.9999999991423054
Moon,10.0,17374000.0,0.01,173740.0,-3.612510010960942e-19,-3.6128712980907556e-19,0.00010001000100134086,0.01623381040294872,0.016235433946343376,0.0001000100010013649,1.0001000100010013
Moon,10.0,17374000.0,0.001,17374.0,-3.612510010960942e-19,-3.6125136234744974e-19,1.0000009811505961e-06,0.01623381040294872,0.016233826636775053,1.0000009812153647e-06,1.0000010000009811
Moon,10.0,17374000.0,0.0001,1737.4,-3.612510010960942e-19,-3.612510047082856e-19,9.999118003120035e-09,0.01623381040294872,0.016233810565272507,9.999118033764158e-09,1.000000009999118
Moon,10.0,17374000.0,1e-05,173.74,-3.612510010960942e-19,-3.612510011279849e-19,8.827851958989431e-11,0.01623381040294872,0.016233810404381818,8.827851633696271e-11,1.0000000000882785
Moon,10.0,17374000.0,1e-06,17.374,-3.612510010960942e-19,-3.6125100113495913e-19,1.0758428107346871e-10,0.01623381040294872,0.016233810404695223,1.075842457825831e-10,1.0000000001075842
Moon,10.0,17374000.0,1e-07,1.7373999999999998,-3.612510010960942e-19,-3.6125100078625117e-19,-8.576945966486491e-10,0.01623381040294872,0.01623381038902507,-8.576945326738096e-10,0.9999999991423054
Moon,25.0,43435000.0,0.01,434350.0,-5.780016017537507e-20,-5.780594076945172e-20,0.0001000100009951016,0.0025974096644717955,0.0025976694314149237,0.00010001000099498677,1.000100010000995
Moon,25.0,43435000.0,0.001,43435.0,-5.780016017537507e-20,-5.780021797559195e-20,1.0000009811589265e-06,0.0025974096644717955,0.0025974122618840083,1.0000009811151846e-06,1.0000010000009811
Moon,25.0,43435000.0,0.0001,4343.5,-5.780016017537507e-20,-5.780016075338149e-20,1.0000083422810169e-08,0.0025974096644717955,0.0025974096904461084,1.0000083288178837e-08,1.0000000100000832
Moon,25.0,43435000.0,1e-05,434.35,-5.780016017537507e-20,-5.780016018159345e-20,1.0758417278186018e-10,0.0025974096644717955,0.0025974096647512356,1.0758414560257493e-10,1.0000000001075842
Moon,25.0,43435000.0,1e-06,43.434999999999995,-5.780016017537507e-20,-5.780016018159346e-20,1.0758438103495353e-10,0.0025974096644717955,0.002597409664751236,1.075843125692552e-10,1.0000000001075844
Moon,25.0,43435000.0,1e-07,4.3435,-5.780016017537507e-20,-5.780016021878897e-20,7.511035162279664e-10,0.0025974096644717955,0.002597409666422719,7.511034514561798e-10,1.0000000007511034
Moon,50.0,86870000.0,0.01,868700.0,-1.4450040043843767e-20,-1.445148519236293e-20,0.0001000100009951016,0.0006493524161179489,0.0006494173578537309,0.00010001000099498677,1.000100010000995
Moon,50.0,86870000.0,0.001,86870.0,-1.4450040043843767e-20,-1.4450054493897988e-20,1.0000009811589265e-06,0.0006493524161179489,0.0006493530654710021,1.0000009811151846e-06,1.0000010000009811
Moon,50.0,86870000.0,0.0001,8687.0,-1.4450040043843767e-20,-1.4450040188345373e-20,1.0000083422810169e-08,0.0006493524161179489,0.0006493524226115271,1.0000083288178837e-08,1.0000000100000832
Moon,50.0,86870000.0,1e-05,868.7,-1.4450040043843767e-20,-1.4450040045398362e-20,1.0758417278186018e-10,0.0006493524161179489,0.0006493524161878089,1.0758414560257493e-10,1.0000000001075842
Moon,50.0,86870000.0,1e-06,86.86999999999999,-1.4450040043843767e-20,-1.4450040045398365e-20,1.0758438103495353e-10,0.0006493524161179489,0.000649352416187809,1.075843125692552e-10,1.0000000001075844
Moon,50.0,86870000.0,1e-07,8.687,-1.4450040043843767e-20,-1.4450040054697243e-20,7.511035162279664e-10,0.0006493524161179489,0.0006493524166056797,7.511034514561798e-10,1.0000000007511034
Moon,100.0,173740000.0,0.01,1737400.0,-3.612510010960942e-21,-3.612871298090733e-21,0.0001000100009951016,0.00016233810402948722,0.00016235433946343273,0.00010001000099498677,1.000100010000995
Moon,100.0,173740000.0,0.001,173740.0,-3.612510010960942e-21,-3.612513623474497e-21,1.0000009811589265e-06,0.00016233810402948722,0.00016233826636775052,1.0000009811151846e-06,1.0000010000009811
Moon,100.0,173740000.0,0.0001,17374.0,-3.612510010960942e-21,-3.612510047086343e-21,1.0000083422810169e-08,0.00016233810402948722,0.00016233810565288178,1.0000083288178837e-08,1.0000000100000832
Moon,100.0,173740000.0,1e-05,1737.4,-3.612510010960942e-21,-3.6125100113495906e-21,1.0758417278186018e-10,0.00016233810402948722,0.00016233810404695222,1.0758414560257493e-10,1.0000000001075842
Moon,100.0,173740000.0,1e-06,173.73999999999998,-3.612510010960942e-21,-3.612510011349591e-21,1.0758438103495353e-10,0.00016233810402948722,0.00016233810404695225,1.075843125692552e-10,1.0000000001075844
Moon,100.0,173740000.0,1e-07,17.374,-3.612510010960942e-21,-3.612510013674311e-21,7.511035162279664e-10,0.00016233810402948722,0.00016233810415141993,7.511034514561798e-10,1.0000000007511034
Sun,1.0,696340000.0,0.01,6963400.0,-6.0907485477434075e-15,-6.091357683511798e-15,0.0001000100010065951,273.7045899834069,273.7319631797267,0.00010001000100672609,1.0001000100010067
Sun,1.0,696340000.0,0.001,696340.0,-6.0907485477434075e-15,-6.090754638498116e-15,1.000001011484714e-06,273.7045899834069,273.70486368827375,1.0000010115760164e-06,1.0000010000010116
Sun,1.0,696340000.0,0.0001,69634.0,-6.0907485477434075e-15,-6.0907486086499364e-15,9.999842956466933e-09,273.7045899834069,273.70459272040983,9.999843058723598e-09,1.000000009999843
Sun,1.0,696340000.0,1e-05,6963.400000000001,-6.0907485477434075e-15,-6.09074854831006e-15,9.303490275683494e-11,273.7045899834069,273.704590008871,9.303493779626072e-11,1.000000000093035
Sun,1.0,696340000.0,1e-06,696.3399999999999,-6.0907485477434075e-15,-6.090748548066779e-15,5.309223282741087e-11,273.7045899834069,273.7045899979385,5.30923581833776e-11,1.0000000000530924
Sun,1.0,696340000.0,1e-07,69.634,-6.0907485477434075e-15,-6.090748546242168e-15,-2.464786335095598e-10,273.7045899834069,273.7045899159446,-2.464784426847447e-10,0.9999999997535216
Sun,1.5,1044510000.0,0.01,10445100.0,-2.7069993545526253e-15,-2.7072700815607924e-15,0.00010001000100416665,121.64648443706973,121.65865030210044,0.00010001000100420795,1.0001000100010042
Sun,1.5,1044510000.0,0.001,1044510.0,-2.7069993545526253e-15,-2.707002061554651e-15,1.0000009866982278e-06,121.64648443706973,121.6466060836742,1.0000009867321e-06,1.0000010000009867
Sun,1.5,1044510000.0,0.0001,104451.0,-2.7069993545526253e-15,-2.706999381622194e-15,9.999843053605352e-09,121.64648443706973,121.64648565351548,9.999843058723598e-09,1.000000009999843
Sun,1.5,1044510000.0,1e-05,10445.1,-2.7069993545526253e-15,-2.7069993548450177e-15,1.0801350111878706e-10,121.64648443706973,121.64648445020919,1.080134440913999e-10,1.0000000001080134
Sun,1.5,1044510000.0,1e-06,1044.51,-2.7069993545526253e-15,-2.7069993545611895e-15,3.1637497080036416e-12,121.64648443706973,121.64648443745459,3.1637442641936435e-12,1.0000000000031637
Sun,1.5,1044510000.0,1e-07,104.451,-2.7069993545526253e-15,-2.7069993525338446e-15,-7.457632542370596e-10,121.64648443706973,121.64648434635025,-7.457632838663174e-10,0.9999999992542368
Sun,2.0,1392680000.0,0.01,13926800.0,-1.5226871369358519e-15,-1.5228394208779495e-15,0.0001000100010065951,68.42614749585172,68.43299079493167,0.00010001000100672609,1.0001000100010067
Sun,2.0,1392680000.0,0.001,1392680.0,-1.5226871369358519e-15,-1.522688659624529e-15,1.000001011484714e-06,68.42614749585172,68.42621592206844,1.0000010115760164e-06,1.0000010000010116
Sun,2.0,1392680000.0,0.0001,139268.0,-1.5226871369358519e-15,-1.5226871521624841e-15,9.999842956466933e-09,68.42614749585172,68.42614818010246,9.999843058723598e-09,1.000000009999843
Sun,2.0,1392680000.0,1e-05,13926.800000000001,-1.5226871369358519e-15,-1.522687137077515e-15,9.303490275683494e-11,68.42614749585172,68.42614750221775,9.303493779626072e-11,1.000000000093035
Sun,2.0,1392680000.0,1e-06,1392.6799999999998,-1.5226871369358519e-15,-1.5226871370166947e-15,5.309223282741087e-11,68.42614749585172,68.42614749948463,5.30923581833776e-11,1.0000000000530924
Sun,2.0,1392680000.0,1e-07,139.268,-1.5226871369358519e-15,-1.522687136560542e-15,-2.464786335095598e-10,68.42614749585172,68.42614747898615,-2.464784426847447e-10,0.9999999997535216
Sun,5.0,3481700000.0,0.01,34817000.0,-2.436299419097363e-16,-2.436543073404713e-16,0.0001000100010040776,10.948183599336277,10.949278527189039,0.00010001000100402622,1.000100010001004
Sun,5.0,3481700000.0,0.001,3481700.0,-2.436299419097363e-16,-2.436301855399186e-16,1.0000009866577534e-06,10.948183599336277,10.948194547530678,1.0000009866022988e-06,1.0000010000009867
Sun,5.0,3481700000.0,0.0001,348170.0,-2.436299419097363e-16,-2.4362994434605826e-16,1.0000092537442481e-08,10.948183599336277,10.948183708819126,1.000009256874714e-08,1.0000000100000925
Sun,5.0,3481700000.0,1e-05,34817.0,-2.436299419097363e-16,-2.4362994193483524e-16,1.0302075642115896e-10,10.948183599336277,10.948183600464167,1.0302080336122685e-10,1.0000000001030207
Sun,5.0,3481700000.0,1e-06,3481.7,-2.436299419097363e-16,-2.43629941895302e-16,-5.924674491053504e-11,10.948183599336277,10.948183598687633,-5.924670512227092e-11,0.9999999999407533
Sun,5.0,3481700000.0,1e-07,348.16999999999996,-2.436299419097363e-16,-2.436299418496867e-16,-2.464786173198234e-10,10.948183599336277,10.948183596637783,-2.46478682816644e-10,0.9999999997535213
Sun,10.0,6963400000.0,0.01,69634000.0,-6.090748547743407e-17,-6.091357683511783e-17,0.0001000100010040776,2.737045899834069,2.7373196317972597,0.00010001000100402622,1.000100010001004
