x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,grad_A_x,g_stam_x_m_s2,g_newton_x_m_s2,ratio_STAM_to_newton_x,abs_error_x_m_s2
6498420.0,0.016905359001040583,6498420.0,377901580.0,1.3652515579780626e-09,-2.1004460161603552e-16,-9.438933673406183,-9.438933673406183,1.0,0.0
6573660.934586917,0.017101095043150147,6573660.934586917,377826339.06541306,1.349628495695408e-09,-2.0526383612770236e-16,-9.224096786357899,-9.224096786357897,1.0000000000000002,1.7763568394002505e-15
6648901.869173835,0.017296831085259718,6648901.869173835,377751098.1308262,1.3343590250975434e-09,-2.0064445219722646e-16,-9.016512024853457,-9.016512024853457,1.0,0.0
6724142.803760752,0.017492567127369282,6724142.803760752,377675857.19623923,1.3194312764631463e-09,-1.9617926716646056e-16,-8.815856616332507,-8.815856616332507,1.0,0.0
6799383.738347669,0.017688303169478847,6799383.738347669,377600616.26165235,1.3048339054649355e-09,-1.9186149357685068e-16,-8.62182554761876,-8.621825547618759,1.0000000000000002,1.7763568394002505e-15
6874624.672934587,0.017884039211588414,6874624.672934587,377525375.3270654,1.2905560644181828e-09,-1.8768471336040227e-16,-8.434130405119836,-8.434130405119836,1.0,0.0
6949865.607521504,0.018079775253697982,6949865.607521504,377450134.39247847,1.2765873753968499e-09,-1.8364285397586354e-16,-8.252498302440827,-8.252498302440827,1.0,0.0
7025106.542108422,0.01827551129580755,7025106.542108422,377374893.4578916,1.2629179050773241e-09,-1.7973016632435747e-16,-8.076670887962292,-8.076670887962292,1.0,0.0
7100347.476695339,0.018471247337917114,7100347.476695339,377299652.52330464,1.2495381411816155e-09,-1.759412042944197e-16,-7.9064034256401055,-7.9064034256401055,1.0,0.0
7175588.411282256,0.018666983380026682,7175588.411282256,377224411.58871776,1.2364389704026025e-09,-1.7227080580048299e-16,-7.741463942917434,-7.741463942917435,0.9999999999999999,8.881784197001252e-16
7250829.345869174,0.01886271942213625,7250829.345869174,377149170.6541308,1.2236116577036834e-09,-1.6871407519147973e-16,-7.5816324402067625,-7.581632440206762,1.0000000000000002,8.881784197001252e-16
7326070.280456091,0.019058455464245814,7326070.280456091,377073929.71954393,1.2110478268940192e-09,-1.6526636691757538e-16,-7.426700156909496,-7.426700156909496,1.0,0.0
7401311.215043008,0.01925419150635538,7401311.215043008,376998688.784957,1.1987394423885956e-09,-1.6192327035323698e-16,-7.276468889398677,-7.276468889398677,1.0,0.0
7476552.149629926,0.01944992754846495,7476552.149629926,376923447.85037005,1.1866787920696407e-09,-1.5868059568401667e-16,-7.130750356802655,-7.130750356802653,1.0000000000000002,1.7763568394002505e-15
7551793.084216843,0.019645663590574514,7551793.084216843,376848206.91578317,1.1748584711725873e-09,-1.555343607726904e-16,-6.989365610798802,-6.989365610798801,1.0000000000000002,8.881784197001252e-16
7627034.01880376,0.01984139963268408,7627034.01880376,376772965.9811962,1.1632713671258257e-09,-1.5248077892784699e-16,-6.852144485961315,-6.852144485961313,1.0000000000000002,1.7763568394002505e-15
7702274.953390678,0.02003713567479365,7702274.953390678,376697725.04660934,1.1519106452790302e-09,-1.4951624750474914e-16,-6.7189250875094535,-6.718925087509452,1.0000000000000002,1.7763568394002505e-15
7777515.887977595,0.020232871716903213,7777515.887977595,376622484.1120224,1.1407697354598842e-09,-1.4663733727436935e-16,-6.589553313575841,-6.589553313575841,1.0,0.0
7852756.8225645125,0.02042860775901278,7852756.8225645125,376547243.1774355,1.1298423193036429e-09,-1.4384078250200286e-16,-6.463882409361564,-6.463882409361563,1.0000000000000002,8.881784197001252e-16
7927997.7571514305,0.02062434380112235,7927997.7571514305,376472002.2428486,1.1191223183041902e-09,-1.4112347168184258e-16,-6.341772550768733,-6.341772550768731,1.0000000000000002,1.7763568394002505e-15
8003238.6917383475,0.020820079843231913,8003238.6917383475,376396761.30826163,1.1086038825391136e-09,-1.3848243887841451e-16,-6.223090455303993,-6.223090455303993,1.0,0.0
8078479.626325265,0.021015815885341477,8078479.626325265,376321520.37367475,1.0982813800248448e-09,-1.3591485562986896e-16,-6.107709018230582,-6.107709018230581,1.0000000000000002,8.881784197001252e-16
