body,r_m,r_body_radii,A_Rs_over_r,grad_A_abs,g_from_STAM_gradient_m_s2,g_newton_m_s2,ratio_STAM_to_newton,relative_error_STAM_vs_newton
Earth,6498420.0,1.02,1.3649630020599007e-09,2.1004536519029253e-16,9.438967986722075,9.438967986722073,1.0000000000000002,1.8819396801632088e-16
Earth,6515602.25822704,1.0226969483953916,1.36136346577112e-09,2.0893900698928798e-16,9.389250728587536,9.389250728587534,1.0000000000000002,1.891904786387013e-16
Earth,6532829.947496974,1.0254010277031822,1.3577734217993295e-09,2.0783847623640573e-16,9.339795342911932,9.339795342911932,1.0,0.0
Earth,6550103.187932515,1.0281122567779806,1.354192845112395e-09,2.0674374223711043e-16,9.290600450351636,9.290600450351635,1.0000000000000002,1.9119935776949897e-16
Earth,6567422.099974025,1.0308306545242545,1.350621710744187e-09,2.0565477445853968e-16,9.241664678828236,9.241664678828236,1.0,0.0
Earth,6584786.804380281,1.0335562398964497,1.3470599937944231e-09,2.0457154252865745e-16,9.192986663490501,9.1929866634905,1.0000000000000002,1.932295677589706e-16
Earth,6602197.422229365,1.0362890318991314,1.343507669428481e-09,2.034940162354034e-16,9.144565046676142,9.144565046676142,1.0,0.0
Earth,6619654.074919499,1.0390290495871135,1.3399647128772312e-09,2.024221655258513e-16,9.096398477874008,9.096398477874008,1.0,0.0
Earth,6637156.884169877,1.0417763120655905,1.3364310994368642e-09,2.0135596050537148e-16,9.048485613686436,9.048485613686436,1.0,0.0
Earth,6654705.972021564,1.0445308384902785,1.3329068044687096e-09,2.0029537143679385e-16,9.000825117791646,9.000825117791646,1.0,0.0
Earth,6672301.460838272,1.047292648067536,1.329391803399079e-09,1.992403687395835e-16,8.95341566090669,8.95341566090669,1.0,0.0
Earth,6689943.473307266,1.0500617600545072,1.3258860717190847e-09,1.9819092298901214e-16,8.906255920750223,8.906255920750223,1.0,0.0
Earth,6707632.132440201,1.052838193759253,1.322389584984471e-09,1.9714700491533854e-16,8.859344582005667,8.859344582005667,1.0,0.0
Earth,6725367.56157397,1.0556219685408836,1.3189023188154474e-09,1.9610858540299295e-16,8.81268033628457,8.812680336284568,1.0000000000000002,2.015682824766073e-16
Earth,6743149.88437162,1.0584131038097033,1.3154242488965062e-09,1.950756354897616e-16,8.766261882089948,8.766261882089948,1.0,0.0
Earth,6760979.224823127,1.061211619027331,1.3119553509762707e-09,1.9404812636598403e-16,8.720087924780227,8.720087924780227,1.0,0.0
Earth,6778855.707246322,1.064017533706847,1.3084956008673144e-09,1.9302602937374603e-16,8.674157176532965,8.674157176532965,1.0,0.0
Earth,6796779.45628774,1.066830867412924,1.3050449744459954e-09,1.920093160060815e-16,8.628468356308995,8.628468356308993,1.0000000000000002,2.0587162936066258e-16
Earth,6814750.596923473,1.0696516397619642,1.3016034476522908e-09,1.90997957906178e-16,8.583020189816708,8.583020189816708,1.0,0.0
Earth,6832769.254460105,1.0724798704222422,1.2981709964896181e-09,1.899919268665826e-16,8.53781140947639,8.53781140947639,1.0,0.0
Earth,6850835.55453549,1.0753155791140308,1.2947475970246849e-09,1.8899119482842016e-16,8.492840754385075,8.492840754385073,1.0000000000000002,2.0915932498593848e-16
Earth,6868949.623119699,1.0781587856097472,1.2913332253873088e-09,1.8799573388060734e-16,8.448106970281222,8.448106970281222,1.0,0.0
Earth,6887111.586515871,1.0810095097340875,1.2879278577702568e-09,1.8700551625907488e-16,8.403608809509786,8.403608809509784,1.0000000000000002,2.1138023909324171e-16
Earth,6905321.571361085,1.0838677713641636,1.28453147042908e-09,1.860205143459945e-16,8.35934503098745,8.35934503098745,1.0,0.0
Earth,6923579.704627303,1.0867335904296505,1.2811440396819377e-09,1.850407006690048e-16,8.31531440016787,8.315314400167868,1.0000000000000002,2.1362473550782274e-16
Earth,6941886.113622163,1.0896069869129121,1.2777655419094486e-09,1.840660479004504e-16,8.271515689007446,8.271515689007446,1.0,0.0
Earth,6960240.925989929,1.092487980849149,1.2743959535545157e-09,1.8309652885661614e-16,8.227947675930947,8.227947675930945,1.0000000000000002,2.158930646334313e-16
Earth,6978644.269712364,1.0953765923265366,1.2710352511221633e-09,1.8213211649696982e-16,8.18460914579745,8.184609145797449,1.0000000000000002,2.170362454403038e-16
Earth,6997096.273109611,1.0982728414863618,1.2676834111793774e-09,1.8117278392340892e-16,8.141498889866511,8.14149888986651,1.0000000000000002,2.1818547953267313e-16
Earth,7015597.064841141,1.1011767485231738,1.2643404103549314e-09,1.8021850437950725e-16,8.0986157057643,8.098615705764297,1.0000000000000002,2.1934079896344568e-16
Earth,7034146.773906566,1.1040883336849108,1.2610062253392384e-09,1.7926925124977327e-16,8.055958397450272,8.05595839745027,1.0000000000000002,2.2050223595524917e-16
Earth,7052745.529646598,1.1070076172730494,1.2576808328841785e-09,1.7832499805890472e-16,8.013525775183679,8.013525775183677,1.0000000000000002,2.216698229013352e-16
Earth,7071393.461743934,1.109934619642746,1.254364209802939e-09,1.7738571847105084e-16,7.971316655490405,7.971316655490405,1.0,0.0
Earth,7090090.700224144,1.1128693612029736,1.2510563329698565e-09,1.764513862890789e-16,7.929329861130017,7.929329861130017,1.0,0.0
Earth,7108837.375456641,1.1158118624166757,1.2477571793202433e-09,1.755219754538403e-16,7.887564221062778,7.887564221062777,1.0000000000000002,1.1260490498807644e-16
Earth,7127633.618155498,1.1187621438008943,1.2444667258502438e-09,1.7459746004344837e-16,7.846018570417191,7.846018570417189,1.0000000000000002,2.264023241160641e-16
Earth,7146479.5593804205,1.121720225926922,1.2411849496166632e-09,1.7367781427255216e-16,7.804691750457371,7.804691750457371,1.0,0.0
Earth,7165375.330537642,1.124686129420443,1.2379118277368097e-09,1.727630124916185e-16,7.763582608550782,7.763582608550781,1.0000000000000002,1.1440316468351723e-16
