object,mass_input_solar,mass_input_kg,Rs_m,Rs_km,test_radius_multiple_Rs,test_radius_m,A_Rs_over_r,grad_A_abs,mass_from_horizon_solar,ratio_horizon,g_m_s2,mass_from_acceleration_solar,ratio_acceleration,circular_velocity_m_s,circular_velocity_fraction_c,mass_from_orbital_velocity_solar,ratio_orbital_velocity,shapiro_K_one_way_s,mass_from_shapiro_K_solar,ratio_shapiro,grav_redshift_weak,mass_from_grav_redshift_solar,ratio_grav_redshift,lensing_alpha_rad,lensing_alpha_arcsec,mass_from_lensing_solar,ratio_lensing
1 solar mass,1.0,1.98847e+30,2953.3393820668784,2.9533393820668783,3,8860.018146200635,0.33333333333333337,3.762219533108675e-05,1.0,1.0,1690657144463.1167,1.0000000000000002,1.0000000000000002,122389758.47245945,0.408248290463863,1.0,1.0,9.851279787922078e-06,1.0000000000000002,1.0000000000000002,0.16666666666666669,1.0000000000000002,1.0000000000000002,0.6666666666666667,137509.87083133336,1.0000000000000002,1.0000000000000002
1 solar mass,1.0,1.98847e+30,2953.3393820668784,2.9533393820668783,10,29533.393820668785,0.09999999999999999,3.385997579797806e-06,1.0,1.0,152159143001.68045,0.9999999999999999,0.9999999999999999,67035631.52297506,0.22360679774997894,0.9999999999999999,0.9999999999999999,9.851279787922078e-06,1.0000000000000002,1.0000000000000002,0.049999999999999996,1.0,1.0,0.19999999999999998,41252.961249399996,1.0,1.0
1 solar mass,1.0,1.98847e+30,2953.3393820668784,2.9533393820668783,100,295333.93820668786,0.01,3.385997579797806e-08,1.0,1.0,1521591430.0168045,1.0,1.0,21198528.000038322,0.07071067811865475,1.0,1.0,9.851279787922078e-06,1.0000000000000002,1.0000000000000002,0.005,1.0000000000000002,1.0000000000000002,0.02,4125.2961249400005,1.0000000000000002,1.0000000000000002
1 solar mass,1.0,1.98847e+30,2953.3393820668784,2.9533393820668783,1000,2953339.3820668785,0.001,3.385997579797807e-10,1.0,1.0,15215914.300168045,1.0,1.0,6703563.152297506,0.022360679774997897,1.0,1.0,9.851279787922078e-06,1.0000000000000002,1.0000000000000002,0.0005,1.0000000000000002,1.0000000000000002,0.002,412.529612494,1.0000000000000002,1.0000000000000002
1 solar mass,1.0,1.98847e+30,2953.3393820668784,2.9533393820668783,1000000,2953339382.0668783,1e-06,3.385997579797807e-16,1.0,1.0,15.215914300168048,1.0,1.0,211985.28000038324,0.0007071067811865475,1.0,1.0,9.851279787922078e-06,1.0000000000000002,1.0000000000000002,5e-07,1.0,1.0,2e-06,0.412529612494,1.0,1.0
10 solar masses,10.0,1.98847e+31,29533.393820668785,29.533393820668785,3,88600.18146200635,0.33333333333333337,3.7622195331086745e-06,10.0,1.0,169065714446.31165,10.0,1.0,122389758.47245945,0.408248290463863,10.0,1.0,9.851279787922078e-05,10.0,1.0,0.16666666666666666,10.0,1.0,0.6666666666666666,137509.87083133333,10.0,1.0
10 solar masses,10.0,1.98847e+31,29533.393820668785,29.533393820668785,10,295333.93820668786,0.09999999999999999,3.3859975797978063e-07,10.0,1.0,15215914300.168045,10.0,1.0,67035631.52297506,0.22360679774997894,9.999999999999998,0.9999999999999998,9.851279787922078e-05,10.0,1.0,0.05,10.0,1.0,0.2,41252.9612494,10.0,1.0
10 solar masses,10.0,1.98847e+31,29533.393820668785,29.533393820668785,100,2953339.3820668785,0.01,3.3859975797978065e-09,10.0,1.0,152159143.00168046,10.0,1.0,21198528.000038322,0.07071067811865475,10.0,1.0,9.851279787922078e-05,10.0,1.0,0.005,10.0,1.0,0.02,4125.2961249400005,10.0,1.0
10 solar masses,10.0,1.98847e+31,29533.393820668785,29.533393820668785,1000,29533393.820668787,0.001,3.3859975797978066e-11,10.0,1.0,1521591.4300168045,10.0,1.0,6703563.152297506,0.022360679774997897,10.0,1.0,9.851279787922078e-05,10.0,1.0,0.0004999999999999999,10.0,1.0,0.0019999999999999996,412.52961249399993,10.0,1.0
10 solar masses,10.0,1.98847e+31,29533.393820668785,29.533393820668785,1000000,29533393820.668785,1e-06,3.385997579797806e-17,10.0,1.0,1.5215914300168047,10.0,1.0,211985.28000038324,0.0007071067811865475,10.0,1.0,9.851279787922078e-05,10.0,1.0,5e-07,10.0,1.0,2e-06,0.412529612494,10.0,1.0
