catalog,subset,model,n,z_min,z_max,rmse_mu,rmse_avg_A,mean_observed_avg_A_required,median_observed_avg_A_required
DES,all,linear_avg_A,1820,0.02509,1.14418,0.19119969032719547,0.11231226711499961,0.29043944633540153,0.2669126525200277
DES,all,quadratic_avg_A,1820,0.02509,1.14418,0.1972466715819736,0.11481924412454601,0.29043944633540153,0.2669126525200277
DES,all,power_1pz_avg_A,1820,0.02509,1.14418,0.20693959219009062,0.11897233844495612,0.29043944633540153,0.2669126525200277
DES,all,integral_alpha_u_beta_u2,1820,0.02509,1.14418,0.21616876032486165,0.12386970225620306,0.29043944633540153,0.2669126525200277
DES,all,integral_alpha_u_only,1820,0.02509,1.14418,0.2539598261069131,0.1443198251546036,0.29043944633540153,0.2669126525200277
DES,all,constant_avg_A,1820,0.02509,1.14418,0.33709361714439334,0.19276603649849175,0.29043944633540153,0.2669126525200277
DES,z<1,linear_avg_A,1803,0.02509,0.99268,0.191311278183992,0.11230645585445281,0.2896117403446076,0.26556485267199254
DES,z<1,quadratic_avg_A,1803,0.02509,0.99268,0.1974417535840328,0.11486329563617842,0.2896117403446076,0.26556485267199254
DES,z<1,power_1pz_avg_A,1803,0.02509,0.99268,0.2072073977093643,0.11905257883397705,0.2896117403446076,0.26556485267199254
DES,z<1,integral_alpha_u_beta_u2,1803,0.02509,0.99268,0.21649540027204592,0.12398356740838094,0.2896117403446076,0.26556485267199254
DES,z<1,integral_alpha_u_only,1803,0.02509,0.99268,0.254399214597316,0.14448230392823888,0.2896117403446076,0.26556485267199254
DES,z<1,constant_avg_A,1803,0.02509,0.99268,0.33810582411198514,0.19330263198056322,0.2896117403446076,0.26556485267199254
Pantheon,all,quadratic_avg_A,1701,0.00122,2.26137,0.14304165408666414,0.07254098291588022,0.10422412022863028,0.09727423088977705
Pantheon,all,power_1pz_avg_A,1701,0.00122,2.26137,0.14339807794445095,0.0733752553367955,0.10422412022863028,0.09727423088977705
Pantheon,all,integral_alpha_u_beta_u2,1701,0.00122,2.26137,0.1469120700821697,0.07534113467211984,0.10422412022863028,0.09727423088977705
Pantheon,all,linear_avg_A,1701,0.00122,2.26137,0.15458606276465717,0.07726217240371627,0.10422412022863028,0.09727423088977705
Pantheon,all,integral_alpha_u_only,1701,0.00122,2.26137,0.16155370757932602,0.08337093333172453,0.10422412022863028,0.09727423088977705
Pantheon,all,constant_avg_A,1701,0.00122,2.26137,0.5310347267803122,0.2922711666970266,0.10422412022863028,0.09727423088977705
Pantheon,z<1,quadratic_avg_A,1676,0.00122,0.97423,0.14227385826003988,0.07173876595906638,0.10006563464343168,0.09493961430985681
Pantheon,z<1,power_1pz_avg_A,1676,0.00122,0.97423,0.14265146006651297,0.07260221173303809,0.10006563464343168,0.09493961430985681
Pantheon,z<1,integral_alpha_u_beta_u2,1676,0.00122,0.97423,0.14618212614128348,0.07458120069451304,0.10006563464343168,0.09493961430985681
Pantheon,z<1,linear_avg_A,1676,0.00122,0.97423,0.1539034645906139,0.07649855392013706,0.10006563464343168,0.09493961430985681
Pantheon,z<1,integral_alpha_u_only,1676,0.00122,0.97423,0.16080172942382467,0.08258348515198895,0.10006563464343168,0.09493961430985681
Pantheon,z<1,constant_avg_A,1676,0.00122,0.97423,0.5326171833493276,0.2931030825755572,0.10006563464343168,0.09493961430985681
Union3,all,quadratic_avg_A,22,0.05,2.26226,0.11593678856760628,0.07580573857887225,0.2063129216742274,0.2175521405593119
Union3,all,power_1pz_avg_A,22,0.05,2.26226,0.11674871694569566,0.07608373218067369,0.2063129216742274,0.2175521405593119
Union3,all,integral_alpha_u_beta_u2,22,0.05,2.26226,0.1184892845901715,0.07670396553548545,0.2063129216742274,0.2175521405593119
Union3,all,linear_avg_A,22,0.05,2.26226,0.12163689586994067,0.07919370991265931,0.2063129216742274,0.2175521405593119
Union3,all,integral_alpha_u_only,22,0.05,2.26226,0.14238748001211937,0.09045174550639738,0.2063129216742274,0.2175521405593119
Union3,all,constant_avg_A,22,0.05,2.26226,0.3382125513231696,0.19342237517018787,0.2063129216742274,0.2175521405593119
Union3,z<1,quadratic_avg_A,18,0.05,0.996276,0.029975515270187485,0.01660703212902549,0.1792729972406163,0.1961857694771045
Union3,z<1,power_1pz_avg_A,18,0.05,0.996276,0.034008038126151025,0.01867892555790474,0.1792729972406163,0.1961857694771045
Union3,z<1,integral_alpha_u_beta_u2,18,0.05,0.996276,0.04126088898150716,0.022194197957859214,0.1792729972406163,0.1961857694771045
Union3,z<1,linear_avg_A,18,0.05,0.996276,0.04182407868359706,0.021951306825750805,0.1792729972406163,0.1961857694771045
Union3,z<1,integral_alpha_u_only,18,0.05,0.996276,0.08234693236775097,0.04432290833092823,0.1792729972406163,0.1961857694771045
Union3,z<1,constant_avg_A,18,0.05,0.996276,0.3710625146274651,0.21196919298574804,0.1792729972406163,0.1961857694771045
