x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_earth,A_moon,A_total,log10_A_total,toy_SU_density,gradient_magnitude,gradient_unit_x,gradient_unit_y
-96100000.0,-192200000.0,-0.25,-0.5,4.1278153983067606e-11,2.1071056276508707e-13,4.148886454583269e-11,-10.382068450642876,5.148886454583269,1.9301603594188149e-19,0.4458325811273654,0.8951163665162821
-92247438.75278397,-192200000.0,-0.23997772828507796,-0.5,4.160635388357077e-11,2.121762899372211e-13,4.181853017350799e-11,-10.378631235716165,5.181853017350799,1.9622929000053906e-19,0.43227554423130016,0.9017415671130687
-88394877.50556792,-192200000.0,-0.2299554565701559,-0.5,4.192859687945247e-11,2.1366086051895202e-13,4.214225773997142e-11,-10.375282201102259,5.214225773997142,1.9930945947551643e-19,0.41743129760314707,0.9087084855889445
-84542316.25835189,-192200000.0,-0.21993318485523386,-0.5,4.224421649054804e-11,2.151646010844453e-13,4.245938109163249e-11,-10.372026340609205,5.245938109163249,2.0235086473875812e-19,0.40225075668933263,0.9155295346098122
-80689755.01113586,-192200000.0,-0.20991091314031182,-0.5,4.255253009594748e-11,2.1668784451593827e-13,4.276921794046342e-11,-10.368868690992816,5.276921794046342,2.0534537020874924e-19,0.38673680187931414,0.9221901355318002
-76837193.76391982,-192200000.0,-0.19988864142538973,-0.5,4.285284157870893e-11,2.1823093009926681e-13,4.3071072508808196e-11,-10.365814313775875,5.3071072508808195,2.0828453030934035e-19,0.37089335956059105,0.928675463137612
-72984632.51670378,-192200000.0,-0.1898663697104677,-0.5,4.314444431201885e-11,2.1979420361745806e-13,4.336423851563631e-11,-10.362868275501283,5.336423851563631,2.111596258811109e-19,0.354725448230145,0.9349705109670159
-69132071.26948775,-192200000.0,-0.17984409799554565,-0.5,4.3426624482429164e-11,2.213780174419979e-13,4.364800249987116e-11,-10.360035626486095,5.364800249987116,2.1396170696329705e-19,0.3382392191561051,0.9410601631270278
-65279510.022271715,-192200000.0,-0.16982182628062362,-0.5,4.369866473937826e-11,2.2298273062134547e-13,4.3921647469999606e-11,-10.357321378172923,5.392164746999961,2.1668164196614096e-19,0.32144199063974827,0.9469292722550908
-61426948.77505568,-192200000.0,-0.15979955456570155,-0.5,4.395984815321928e-11,2.246087089662273e-13,4.4184456862185503e-11,-10.354730479206333,5.418445686218551,2.1931017312107723e-19,0.30434227494375327,0.9525627431734148
-57574387.52783964,-192200000.0,-0.1497772828507795,-0.5,4.4209462456565184e-11,2.2625632513119952e-13,4.443571878169638e-11,-10.352267790393885,5.443571878169638,2.2183797794916205e-19,0.28694979698849743,0.9579456216342659
-53721826.28062361,-192200000.0,-0.13975501113585745,-0.5,4.444680453608177e-11,2.2792595869192245e-13,4.46747304947737e-11,-10.349938058743653,5.46747304947737,2.2425573632887726e-19,0.2692755039778191,0.9630631874168442
-49869265.03340757,-192200000.0,-0.1297327394209354,-0.5,4.467118513411636e-11,2.2961799621753903e-13,4.49008031303339e-11,-10.347745890801736,5.49008031303339,2.2655420257683166e-19,0.2513315651983059,0.96790105090085
-46016703.78619153,-192200000.0,-0.11971046770601335,-0.5,4.4881933711971e-11,2.3133283133749677e-13,4.5113266543308497e-11,-10.345695725543116,5.5113266543308495,2.2872428178505697e-19,0.23313136134250007,0.9724452521137593
-42164142.5389755,-192200000.0,-0.10968819599109131,-0.5,4.507840341946958e-11,2.3307086480209244e-13,4.531147428427167e-11,-10.343791807096743,5.531147428427167,2.307571094898638e-19,0.214689462837514,0.9766823611320825
-38311581.29175946,-192200000.0,-0.09966592427616926,-0.5,4.5259976108995605e-11,2.348325045359569e-13,4.549480861353156e-11,-10.34203815760941,5.549480861353156,2.3264413358864005e-19,0.19602159680902884,0.9805995786173063
-34459020.04454343,-192200000.0,-0.08964365256124722,-0.5,4.542606732666864e-11,2.366181656836295e-13,4.5662685492352266e-11,-10.340438550572166,5.566268549235226,2.3437719727755464e-19,0.17714460248267203,0.9841848351865903
