catalog,z_bin,n,z_mean,observed_distance_mly_weighted_mean,lcdm_distance_mly_weighted_mean,unadjusted_distance_mly_weighted_mean,adjusted_union_distance_mly_weighted_mean,unadjusted_over_lcdm_weighted_mean,adjusted_union_over_lcdm_weighted_mean,unadjusted_fraction_of_observed_weighted_mean,observed_excess_over_unadjusted_fraction_weighted_mean,stam_union_excess_fraction_weighted_mean,rmse_mu_lcdm,rmse_mu_stam_unadjusted,rmse_mu_stam_adjusted_union,rmse_mu_stam_adjusted_des
DES,0.025-0.050,141,0.035110283687943264,528.3246623575071,519.1365777855457,486.3781952399272,505.55514661608294,0.9376871381909725,0.9741964947667607,0.9244766404223997,0.07552335957760031,0.037480473637605094,0.12117839275857012,0.20947127774245689,0.14772254110913946,0.12956865419386032
DES,0.050-0.075,50,0.061732199999999994,907.6980006842978,899.6812816238403,830.9737116735108,870.8080019064397,0.9241677423251308,0.9681435932233635,0.9176083762253221,0.08239162377467783,0.045427313980502704,0.11819833277520725,0.2222576652952156,0.14625769134642974,0.1291844725706175
DES,0.075-0.100,10,0.08304900000000001,1223.163878026284,1196.6364589901948,1093.956907676455,1153.3171357132637,0.9144179452000369,0.9638952354897918,0.8958997659922081,0.10410023400779186,0.051332871331526114,0.1143735572380273,0.26226088500502315,0.16378607534388662,0.10516460509908475
DES,0.100-0.150,17,0.13156352941176472,2009.142249127909,2000.9208668286694,1780.961805100244,1908.5858970420165,0.8913391847277444,0.9543626664659675,0.894697634544072,0.10530236545592783,0.06605605068215593,0.14516913099433024,0.2904122403428682,0.17757325530815637,0.15404816322675924
DES,0.150-0.200,27,0.18090407407407405,2801.5572635033777,2848.149927720688,2477.786369591988,2694.846541311512,0.8704735180884917,0.946361958079637,0.8910819831008969,0.10891801689910284,0.08019868749043176,0.16484983978447357,0.30369112180939756,0.1765463624769955,0.17198389537544456
DES,0.200-0.250,69,0.22653318840579706,3677.284273882523,3687.8765167206566,3144.1517632618047,3467.121201861513,0.8528272036562864,0.9402267935443497,0.8583530349070504,0.14164696509294966,0.09296080365586741,0.11751100426141478,0.355665739991625,0.17028317905186366,0.11847665557411063
DES,0.250-0.280,50,0.26657539999999996,4399.951237442875,4430.839274480507,3717.809079277272,4146.920559084184,0.8391595554855804,0.9359470269831972,0.8489791106221783,0.15102088937782152,0.1034128741182013,0.1386992264085483,0.38593496215169365,0.18454392047162563,0.13813125890454026
DES,0.280-0.320,82,0.30107304878048785,5054.629477524349,5084.983023248001,4211.883139995383,4743.877153614323,0.8284494439997347,0.9329589494336051,0.8356583165839029,0.16434168341609687,0.11202219947341809,0.10581334665947692,0.4066203849531385,0.1705503581084571,0.1050817293197808
DES,0.320-0.350,108,0.33621694444444444,5746.427054122059,5753.744609523326,4708.88264723419,5353.618872786885,0.8184667912574733,0.930472924638232,0.8220224050057413,0.17797759499425853,0.12037659456358565,0.12328743747220298,0.446227292131545,0.1943883851975232,0.12481313264983894
DES,0.350-0.400,131,0.37251732824427475,6374.813262330351,6457.410685059317,5223.063180475298,5995.3007718304825,0.8090007603611535,0.9284666006341836,0.8235182600318001,0.1764817399681998,0.12867238399667427,0.15854718111365673,0.4543426067004704,0.2010316605948337,0.1549206713110925
