sample,n,z_min,z_max,z_mean,observed_distance_mly_weighted_mean,lcdm_distance_mly_weighted_mean,unadjusted_distance_mly_weighted_mean,adjusted_union_distance_mly_weighted_mean,unadjusted_over_lcdm_weighted_mean,adjusted_union_over_lcdm_weighted_mean,unadjusted_fraction_of_observed_weighted_mean,observed_excess_over_unadjusted_fraction_weighted_mean,stam_union_excess_fraction_weighted_mean,stam_original_excess_fraction_weighted_mean,stam_des_excess_fraction_weighted_mean,rmse_mu_lcdm,rmse_mu_stam_unadjusted,rmse_mu_stam_adjusted_union,rmse_mu_stam_adjusted_original,rmse_mu_stam_adjusted_des
DES all,1820,0.02509,1.14418,0.4674815769230769,7395.572953146669,7432.4124127404075,5746.264331914317,6916.271369933833,0.8189479721178614,0.9391990847216523,0.8227505095172418,0.17724949048275832,0.12894974766027173,0.13466442361246306,0.17888610253998383,0.14674465298415154,0.48685646450611814,0.19684490316043946,0.1879162635151922,0.1498958808361545
DES z<1,1803,0.02509,0.99268,0.4619651358846368,7273.975149945263,7305.125238567422,5659.6974750735535,6793.384432542334,0.8198238620110306,0.939079493741824,0.8234352970610068,0.1765647029389932,0.12792996439927237,0.133660207806703,0.17799911425281578,0.14640106750610166,0.48490015472821374,0.1970384263973915,0.18805527651851836,0.1495860322137466
DES z>=1,17,1.00009,1.14418,1.0525488235294116,22527.410080575264,23272.24452554607,16518.791004770526,22208.53054518165,0.7099507463781342,0.9540811893405574,0.7375343846668428,0.262465615333157,0.25585330845208354,0.2596307438376911,0.2892644312761785,0.18457474703763255,0.6881860035545445,0.17106219822792731,0.16973091963941525,0.18443488085497067
Pantheon all,1701,0.00122,2.26137,0.221229012345679,3621.5457186764415,3821.5025000716864,3083.419829179774,3585.8612756788884,0.8708117585770517,0.9514846839735256,0.9161689663451887,0.0838310336548114,0.08563463618262135,0.09206998019054384,0.14167022346619834,0.17533019188990967,0.2837155120790765,0.1423105381567775,0.14315194209243925,0.19775650637733633
Pantheon z<1,1676,0.00122,0.97423,0.20394184964200476,3436.4848743757993,3631.4178151046094,2953.942285669059,3393.8877947941687,0.871960051990746,0.9512221668983177,0.9175035515949427,0.0824964484050573,0.0842474291960488,0.09070370884865392,0.14046171362944712,0.1752753558760858,0.27798203138712846,0.14154119122255174,0.1423848933932648,0.19734357564798158
Pantheon z>=1,25,1.01242,2.26137,1.3801603999999998,31490.63793961466,32447.156052853257,22581.988606800653,32495.95656336257,0.6978854155471556,0.9910182363367036,0.7151881508590278,0.2848118491409722,0.29453998071630383,0.2978225377877483,0.3236648113413932,0.18340112326834204,0.7519843398558895,0.23051924531943152,0.23124818312896914,0.25234287352883006
Union3 all,22,0.05,2.26226,0.6670133636363637,13079.709248435409,14138.730372221353,10326.613528328184,13823.608987306214,0.7802468074530498,0.9493796091072096,0.8342823988972885,0.1657176011027113,0.17627986883359031,0.1812828213726558,0.2201402022348682,0.15373695004029364,0.43640364871106335,0.11590253468575372,0.11900659567555685,0.18027389194154855
Union3 z<1,18,0.05,0.996276,0.4830230000000001,8692.785900735436,9317.890224842713,7084.222651560467,8697.55516814557,0.7985754460767208,0.9366708272153148,0.8522057693736681,0.14779423062633187,0.14787984794606007,0.15328929437990585,0.19522596243868034,0.14663262205077107,0.38450303087289767,0.02942912415801345,0.032508210808357474,0.12739511702719952
Union3 z>=1,4,1.094415,2.26226,1.49497,32820.86431308529,35832.511035425225,24917.372473782903,36890.85117352911,0.6977679336465301,1.006569127620737,0.7536272317535812,0.24637276824641885,0.30407996282747646,0.3072536928400306,0.33225428131771345,0.1823121159430314,0.618201570661876,0.2645493459395013,0.2704415038668202,0.32513058506692327
Union-style all,1723,0.00122,2.26226,0.22692097736506095,3626.882339787969,3827.323834826758,3087.506688144322,3591.6377649942256,0.8707606587172733,0.9514834962178964,0.916122763127913,0.08387723687208691,0.08568578133999806,0.09212031714339665,0.14171449892665114,0.17531875812188458,0.28382482524667346,0.14229701970622027,0.14313946685896664,0.19774707788545948
Union-style z<1,1694,0.00122,0.996276,0.20690729279811096,3438.9277826952184,3634.0606490458604,2955.8618667997384,3396.352717005591,0.8719259459029467,0.9512154040457733,0.9174732039237139,0.08252679607628617,0.08427700287616521,0.09073279600458416,0.14048716575601902,0.1752631311978014,0.278041016914684,0.1415097184170968,0.14235352739658336,0.19731682615390217
combined all,3543,0.00122,2.26226,0.3504943025684448,6155.111378040147,6245.800319960568,4871.136327793506,5821.970812701295,0.8360020774885135,0.9432424891815124,0.8534839139454484,0.14651608605455166,0.1147094468999041,0.12066106416049559,0.1666510982114284,0.1567260223160863,0.43072770359278545,0.1807175377180308,0.1744515426749397,0.16716523477977918
combined z<1,3497,0.00122,0.996276,0.33841123648841864,6010.58319356692,6095.754654685269,4768.96423719129,5674.2893773882415,0.8369880186422424,0.9430774656032074,0.8544145063765337,0.1455854936234662,0.11354922925337685,0.11951849283283376,0.16564143272751175,0.15649822709577493,0.42794458225657145,0.18064074880760997,0.17432802370396622,0.16682541544445195
