catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_mu,stam_adjusted_union_mu,stam_adjusted_des_mu,stam_unadjusted_mu_equiv,resid_lcdm_mu,resid_stam_adjusted_union_mu,resid_stam_adjusted_des_mu,resid_stam_unadjusted_mu
DES,2004ef,0.03012,35.5473,0.1369,53.357208905745026,419.6486932094469,35.60246782310411,35.54902782862875,35.696588076797866,35.47036506356277,-0.05516782310410662,-0.0017278286287520928,-0.14928807679786615,0.07693493643723315
DES,2007nq,0.04349,36.36083,0.0883,128.2562662805298,610.3681664517406,36.42145691221122,36.36059237162757,36.50724266342756,36.27236824335415,-0.06062691221121952,0.00023762837243168633,-0.14641266342756154,0.08846175664584877
DES,2006az,0.03201,35.60595,0.0962,108.05624111237418,431.1375754127502,35.73765999554857,35.6831506028854,35.830581533487404,35.60313135377723,-0.13170999554856877,-0.07720060288539798,-0.22463153348740406,0.0028186462227708375
DES,2007is,0.02866,35.58174,0.1241,64.9316496989444,426.35746863252314,35.4922208591139,35.43961148497894,35.58727178473367,35.36199769103779,0.0895191408861038,0.1421285150210636,-0.005531784733669554,0.2197423089622106
DES,2008gb,0.03796,36.20641,0.1163,73.93338158718704,568.4704248188903,36.117374236114486,36.05954107891385,36.206566375125725,35.97526192383296,0.08903576388551215,0.14686892108614558,-0.00015637512572652668,0.23114807616703814
DES,2007ux,0.03264,35.67592,0.1568,40.673157017909205,445.25609697703055,35.780993394041225,35.72612899964592,35.873516874765826,35.645657947426095,-0.10507339404122717,-0.050208999645924735,-0.19759687476582855,0.03026205257390302
DES,2002hd,0.03134,36.00315,0.1791,31.175169850119133,517.673430010627,35.690650354831604,35.63651930634761,35.78399605373377,35.55698074271834,0.3124996451683941,0.36663069365238954,0.21915394626622486,0.44616925728166024
DES,2006is,0.03071,35.72373,0.1121,79.57722213424518,455.1681604663306,35.64554153783162,35.59176700161486,35.73928685644974,35.51268061067316,0.07818846216838438,0.13196299838514136,-0.015556856449734369,0.21104938932684547
DES,2004gu,0.04664,36.54971,0.1315,57.829374430742085,665.8369236256893,36.57826487493384,36.51569821073896,36.6621357467001,36.42523304543937,-0.02855487493384601,0.03401178926103654,-0.11242574670010441,0.12447695456062746
DES,2005eq,0.02823,35.63531,0.1201,69.32884821904588,437.0064782383621,35.458700338589374,35.40633635307568,35.55402614595781,35.3290316865572,0.17660966141062318,0.22897364692431665,0.08128385404218363,0.306278313442796
DES,2008ar,0.02849,35.45147,0.0994,101.21088705269847,401.5317347074685,35.47902786256743,35.42651546148956,35.57418741990935,35.34902387070972,-0.027557862567427094,0.024954538510442603,-0.1227174199093497,0.10244612929027852
DES,2005hc,0.04575,36.69777,0.0872,131.5124989479,712.8199977089373,36.5350279101513,36.47294036296821,36.61943794827838,36.383107932037746,0.16274208984869887,0.22482963703178882,0.07833205172161684,0.31466206796225293
DES,2006ob,0.05824,37.05644,0.0849,138.7345467056788,840.8409903425014,37.07865903428714,37.009976008708186,37.155635358968546,36.911296042495366,-0.022219034287140005,0.04646399129181589,-0.0991953589685437,0.1451439575046365
DES,2006te,0.0329,35.86396,0.0989,102.23683981838647,485.53201876172227,35.798639108475285,35.7436284184282,35.890998531951695,35.662970959946016,0.06532089152471343,0.12033158157179713,-0.027038531951696143,0.2009890400539831
DES,2005hj,0.05708,37.07054,0.1121,79.57722213424518,846.3185792455886,37.03317762028206,36.96509559363326,37.11083238994299,36.86723443686686,0.03736237971794054,0.10544440636674324,-0.04029238994299078,0.2033055631331422
DES,2008bz,0.06099,37.36659,0.0716,195.0625760744047,969.9377782340738,37.18308738173815,37.11298892091412,37.25846499920433,37.012370171268856,0.18350261826185488,0.2536010790858825,0.108125000795674,0.35421982873114644
DES,2003iv,0.03491,36.01126,0.1344,55.360685941043094,519.6104480532676,35.93062707211771,35.87448959514604,36.02172254225731,35.79239210041631,0.08063292788229148,0.1367704048539622,-0.010462542257307916,0.21886789958369235
DES,2003cq,0.03378,35.83146,0.1865,28.750296487432525,478.31926719293904,35.85736797270124,35.80186305037493,35.94917307948978,35.72057490440419,-0.025907972701240567,0.029596949625066316,-0.11771307948978205,0.11088509559581183
DES,2007co,0.02731,35.4217,0.145,47.562425683709876,396.06446126800233,35.38526818628251,35.333430372739116,35.481183306798016,35.25678737639731,0.036431813717491934,0.08826962726088539,-0.05948330679801472,0.16491262360268877
DES,2002he,0.02519,35.23294,0.1246,64.41157450229176,363.0896547515224,35.20636803461534,35.15574871007662,35.30364734919701,35.080631893248224,0.026571965384661667,0.07719128992337687,-0.07070734919700783,0.15230810675177509
DES,2003fa,0.04056,36.16885,0.1017,96.68477572515998,558.7221322035211,36.26536347939923,36.20609819040833,36.35294693483068,36.11996255288887,-0.09651347939922772,-0.03724819040833438,-0.18409693483068423,0.04888744711112736
DES,2005iq,0.03341,36.04919,0.0898,124.00732139225498,528.7664299067735,35.83285945051207,35.77756215702108,35.92489744292608,35.69653914396995,0.2163305494879353,0.27162784297892273,0.12429255707392173,0.35265085603005275
DES,2005ms,0.02669,35.48988,0.1058,89.33644462391142,408.6974001632417,35.33439981469935,35.282917484089666,35.43071300028342,35.20672061228797,0.15548018530064667,0.20696251591033388,0.059166999716580904,0.28315938771203264
DES,2006al,0.06886,37.60919,0.0802,155.4716699523013,1084.5857024573916,37.45867686515595,37.3845997227946,37.52955385034485,37.27845079603324,0.15051313484404716,0.22459027720540092,0.0796361496551512,0.3307392039667576
DES,2006oa,0.06153,37.2229,0.1098,82.94597562715452,907.8328110855228,37.203059796051555,37.1326849345767,37.278125079095666,37.03168586765576,0.019840203948447765,0.09021506542330116,-0.05522507909566343,0.19121413234424267
DES,2008050,0.04625,36.31584,0.1717,33.92027852619104,597.8522596568125,36.55941770106025,36.497060812817416,36.6435246564753,36.40687286979514,-0.24357770106024645,-0.18122081281741487,-0.32768465647529865,-0.0910328697951357
DES,2005ir,0.0752,37.78693,0.0745,180.17206432142697,1177.0959760539483,37.65953793806167,37.58233231155774,37.72686867748293,37.47174790400244,0.12739206193833041,0.2045976884422558,0.06006132251706475,0.31518209599755664
DES,2008cf,0.04682,36.57974,0.0945,111.97894795778393,675.1089648185742,36.586912088663844,36.524248696383104,36.67067409351883,36.43365560513801,-0.0071720886638431125,0.055491303616896914,-0.09093409351882542,0.14608439486199387
DES,2005lz,0.04643,36.44687,0.1231,65.9908761014702,635.0382358035947,36.568135469613765,36.50568172794959,36.652133428418686,36.4153658277836,-0.1212654696137676,-0.058811727949596104,-0.2052634284186894,0.03150417221639401
DES,2001eh,0.03725,36.01068,0.1125,79.01234567901234,519.471678703196,36.075243932325066,36.017803991922136,36.164877574198655,35.93403232583945,-0.06456393232506485,-0.007123991922135531,-0.15419757419865476,0.0766476741605473
DES,2008fr,0.03828,36.24514,0.0994,101.21088705269847,578.7005232619968,36.13611207906482,36.078101997273606,36.22510554111979,35.993594188653894,0.10902792093517633,0.16703800272639313,0.020034458880211048,0.2515458113461051
DES,2001az,0.04101,36.41367,0.0927,116.36986532515483,625.4028774111173,36.29003591023029,36.23052399554052,36.37734222597435,36.1440673508346,0.12363408976971613,0.1831460044594806,0.03632777402565068,0.26960264916540666
DES,2008051,0.03873,36.12057,0.1044,91.74850633431686,546.4367190506283,36.16220560282342,36.10394703574454,36.25092000121827,36.01911776073249,-0.04163560282341905,0.01662296425546117,-0.13035000121826812,0.10145223926750901
DES,2008gl,0.03272,35.80144,0.096,108.50694444444444,471.7521357967981,35.786437435499074,35.731528013809,35.87891042336615,35.65099960257072,0.015002564500925075,0.06991198619100203,-0.07747042336615095,0.1504403974292785
DES,2007ae,0.06533,37.1436,0.1021,95.92869044866809,875.2777226501389,37.339018111998996,37.26671242560789,37.41190020415881,37.16304065699156,-0.19541811199899684,-0.12311242560789282,-0.2683002041588125,-0.019440656991562832
DES,2003ch,0.02919,35.74741,0.1139,77.08192498232897,460.15895176687883,35.53286517585789,35.47995381826631,35.627577782236,35.40195912195627,0.2145448241421093,0.26745618173369223,0.11983221776399944,0.3454508780437351
DES,2008hj,0.03682,36.11617,0.0895,124.84004868761899,545.3306090721902,36.049346127231274,35.992144778689095,36.13924762006837,35.908680575057076,0.06682387276872248,0.12402522131090166,-0.023077620068370663,0.20748942494292066
DES,2003U,0.02833,35.33929,0.1479,45.71551872713367,381.31498714638457,35.46654025029731,35.414119167011364,35.561802099974926,35.33674260292379,-0.1272502502973083,-0.07482916701136588,-0.22251209997492793,0.002547397076206437
DES,2004gs,0.02857,35.54768,0.167,35.856430850873096,419.72213667415406,35.48524591497866,35.43268787283594,35.580354344595705,35.35513877305637,0.06243408502133718,0.11499212716405793,-0.03267434459570495,0.19254122694363218
DES,2007R,0.03174,35.84381,0.1068,87.67130973923044,481.0474037322277,35.71883265860102,35.66447563340419,35.811925024060116,35.58465006900251,0.12497734139897432,0.17933436659581048,0.0318849759398816,0.259159930997491
DES,2004L,0.03373,35.9177,0.1835,29.69804512617957,497.69797652881465,35.8540713800447,35.798594500977615,35.94590794266599,35.71734218017707,0.06362861995530267,0.11910549902238898,-0.028207942665986252,0.20035781982293344
