bin,N,frac_abs_MUPULL_gt_3,frac_FITPROB_lt_0.01,frac_PROBCC_gt_0.05
0.00-0.10,201,0.004975124378109453,0.04477611940298507,0.0
0.10-0.20,44,0.1590909090909091,0.06818181818181818,0.1590909090909091
0.20-0.28,119,0.04201680672268908,0.03361344537815126,0.07563025210084033
0.28-0.32 *,82,0.10975609756097561,0.08536585365853659,0.17073170731707318
0.32-0.40,239,0.0502092050209205,0.05439330543933055,0.1087866108786611
0.40-0.50,273,0.007326007326007326,0.01098901098901099,0.08424908424908426
0.50-0.60,310,0.01935483870967742,0.00967741935483871,0.054838709677419356
0.60-0.70,295,0.02711864406779661,0.003389830508474576,0.08135593220338982
0.70-0.80,127,0.007874015748031496,0.0,0.09448818897637795
0.80-0.90,80,0.0,0.0375,0.1
0.90-1.00,33,0.0,0.030303030303030304,0.09090909090909091
