z_lo,z_hi,label,N,m_b_corr_err_DIAG_med,m_b_corr_err_DIAG_madstd,m_b_corr_err_RAW_med,m_b_corr_err_RAW_madstd,x1_med,x1_madstd,x1ERR_med,x1ERR_madstd,c_med,c_madstd,cERR_med,cERR_madstd,biasCor_m_b_med,biasCor_m_b_madstd,biasCorErr_m_b_med,biasCorErr_m_b_madstd,biasCor_m_b_COVSCALE_med,biasCor_m_b_COVSCALE_madstd,HOST_LOGMASS_ERR_med,HOST_LOGMASS_ERR_madstd,FITCHI2_per_NDOF_med,FITCHI2_per_NDOF_madstd,FITPROB_med,FITPROB_madstd
0.0,0.1,0.00-0.10,618,0.2165055,0.06151307399999997,0.07394999999999999,0.021794219999999996,-0.25341400000000003,1.324250907,0.12747,0.0828736335,-0.020634,0.0921628638,0.032633999999999996,0.008301077399999997,0.009850000000000001,0.056709449999999995,0.002,0.0014826,1.0,0.0,0.014,0.12231449999999999,1.2963918315018312,0.8165748966666666,0.15217,0.2256070246575117
0.1,0.2,0.10-0.20,207,0.182028,0.049426918800000004,0.0706,0.017198159999999997,0.13877,0.9558025679999999,0.20428,0.10133570999999998,-0.021491,0.075857229,0.028917,0.005359599,0.0024,0.03869586,0.003,0.0014826,1.0,0.0,0.074,0.035582399999999986,0.9004206666666666,0.3386174297749999,0.61808,0.48590732400000003
0.2,0.28,0.20-0.28,211,0.202153,0.0458004792,0.1052,0.03943716,0.2037,0.943689726,0.32366,0.15162550199999994,-0.036491,0.0772034298,0.037628,0.009525704999999999,-0.0109,0.06493787999999999,0.003,0.0014826,1.0,0.0,0.096,0.0652344,0.80996125,0.2845950101590909,0.73945,0.3480551759999999
0.28,0.32,0.28-0.32 *,99,0.208762,0.054209786400000015,0.1225,0.05278055999999998,0.15621,0.8711416602,0.46377,0.274770258,-0.053234,0.06630483720000001,0.043208,0.01572000779999999,-0.0054,0.06315876,0.004,0.0029652,1.0,0.0,0.1035,0.09414510000000002,0.7918999999999999,0.2550139390909089,0.837,0.23008469400000006
0.32,0.4,0.32-0.40,135,0.200026,0.057037104600000006,0.1039,0.045812340000000014,0.16952,0.8361982608,0.38794,0.27797267400000003,-0.048694,0.0703093398,0.036924,0.012597652200000005,-0.0105,0.06212094,0.002,0.0014826,1.0,0.0,0.1,0.0978516,0.8607790697674419,0.34137805338266386,0.6916,0.43195551
0.4,0.5,0.40-0.50,98,0.2067555,0.05387620140000001,0.1216,0.052854689999999996,0.193845,0.8931034139999999,0.463245,0.261426858,-0.04413,0.07168667520000001,0.03787,0.013444958099999998,-0.0068000000000000005,0.06723591,0.003,0.0014826,1.0,0.0,0.11975,0.10192875,0.9482708079268293,0.3897270832642422,0.543255,0.538117083
0.5,0.6,0.50-0.60,81,0.229578,0.05187172620000002,0.1265,0.04240236,0.39642,0.7980984059999999,0.38712,0.28157539200000004,-0.041138,0.071728188,0.039032,0.010701406799999992,0.0094,0.07309217999999999,0.005,0.0029652,1.0,0.0,0.135,0.1000755,1.0310517241379311,0.35765977107176156,0.41898,0.50499164772
0.6,0.7,0.60-0.70,54,0.2738605,0.07238127329999998,0.16715000000000002,0.058859219999999976,0.21071499999999999,0.693916104,0.33962499999999995,0.18609595199999993,-0.052964,0.1058702421,0.052456,0.0174716997,0.01445,0.10993478999999999,0.0055,0.0037064999999999993,0.9735,0.03928890000000003,0.221,0.1601208,1.0190959749552773,0.31652482953130595,0.435615,0.46206711600000006
0.7,0.8,0.70-0.80,45,0.253305,0.059478946800000015,0.1963,0.03617544,0.3801,0.628666878,0.31152,0.08671727400000005,-0.051109,0.0770907522,0.058536,0.010640620199999994,0.0091,0.09073512,0.004,0.0029652,0.779,0.192738,0.183,0.14974259999999998,1.090214705882353,0.3296087249411766,0.30909,0.32895928800000007
0.8,0.9,0.80-0.90,3,,,,,,,,,,,,,,,,,,,,,,,,
0.9,1.0,0.90-1.00,2,,,,,,,,,,,,,,,,,,,,,,,,
